,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,MF8-,,,,,,,,,,,,,,,,,,,,,
site_name,Merced Formation 8,,,,,,,,,,,,,,,,,,,,,
site_lat,37.68515,(ºN),,,,,,,,,,,,,,,,,,,,
site_long,237.503531,(ºE),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1a,mag compass orientation (IGRF corrected),0.3,134,44.0,304.0,60.0,no,nan,-7.0,2023.0,6.0,1.0,1.0,1.0,1.0,nan,nan,[13.124998838887555; 61.09652314141076; 47650.843533224106],13.124998838887555,insufficient data,147.1,nan
2a,mag compass orientation (IGRF corrected),0.8,121,42.0,304.0,60.0,no,nan,-7.0,2023.0,6.0,1.0,1.0,1.0,1.0,nan,nan,[13.124998838887555; 61.09652314141076; 47650.843533224106],13.124998838887555,insufficient data,134.1,nan
3a,mag compass orientation (IGRF corrected),0.6,125,63.0,304.0,60.0,no,nan,-7.0,2023.0,6.0,1.0,1.0,1.0,1.0,nan,nan,[13.124998838887555; 61.09652314141076; 47650.843533224106],13.124998838887555,insufficient data,138.1,nan
5a,mag compass orientation (IGRF corrected),1.5,103,41.0,304.0,60.0,no,nan,-7.0,2023.0,6.0,1.0,1.0,1.0,1.0,nan,nan,[13.124998838887555; 61.09652314141076; 47650.843533224106],13.124998838887555,insufficient data,116.1,nan
6a,mag compass orientation (IGRF corrected),1.4,122,33.0,304.0,60.0,no,nan,-7.0,2023.0,6.0,1.0,1.0,1.0,1.0,nan,nan,[13.124998838887555; 61.09652314141076; 47650.843533224106],13.124998838887555,insufficient data,135.1,nan
7a,mag compass orientation (IGRF corrected),1.45,138,35.0,304.0,60.0,no,nan,-7.0,2023.0,6.0,1.0,1.0,1.0,1.0,nan,nan,[13.124998838887555; 61.09652314141076; 47650.843533224106],13.124998838887555,insufficient data,151.1,nan
8a,mag compass orientation (IGRF corrected),2.9,187,52.0,304.0,60.0,no,nan,-7.0,2023.0,6.0,1.0,1.0,1.0,1.0,nan,nan,[13.124998838887555; 61.09652314141076; 47650.843533224106],13.124998838887555,insufficient data,200.1,nan
9a,mag compass orientation (IGRF corrected),5.5,166,54.0,304.0,60.0,no,nan,-7.0,2023.0,6.0,1.0,1.0,1.0,1.0,nan,nan,[13.124998838887555; 61.09652314141076; 47650.843533224106],13.124998838887555,insufficient data,179.1,nan
10a,mag compass orientation (IGRF corrected),6.4,119,60.0,304.0,60.0,no,nan,-7.0,2023.0,6.0,1.0,1.0,1.0,1.0,nan,nan,[13.124998838887555; 61.09652314141076; 47650.843533224106],13.124998838887555,insufficient data,132.1,nan
11a,mag compass orientation (IGRF corrected),14.6,131,52.0,304.0,60.0,no,nan,-7.0,2023.0,6.0,1.0,1.0,1.0,1.0,nan,nan,[13.124998838887555; 61.09652314141076; 47650.843533224106],13.124998838887555,insufficient data,144.1,nan
12a,mag compass orientation (IGRF corrected),16.2,150,50.0,304.0,60.0,no,nan,-7.0,2023.0,6.0,1.0,1.0,1.0,1.0,nan,nan,[13.124998838887555; 61.09652314141076; 47650.843533224106],13.124998838887555,insufficient data,163.1,nan
13a,mag compass orientation (IGRF corrected),16.5,105,68.0,304.0,60.0,no,nan,-7.0,2023.0,6.0,1.0,1.0,1.0,1.0,nan,nan,[13.124998838887555; 61.09652314141076; 47650.843533224106],13.124998838887555,insufficient data,118.1,nan
14a,mag compass orientation (IGRF corrected),16,183,64.0,304.0,60.0,no,nan,-7.0,2023.0,6.0,1.0,1.0,1.0,1.0,nan,nan,[13.124998838887555; 61.09652314141076; 47650.843533224106],13.124998838887555,insufficient data,196.1,nan
15a,mag compass orientation (IGRF corrected),16.3,166,42.0,304.0,60.0,no,nan,-7.0,2023.0,6.0,1.0,1.0,1.0,1.0,nan,nan,[13.124998838887555; 61.09652314141076; 47650.843533224106],13.124998838887555,insufficient data,179.1,nan
16a,mag compass orientation (IGRF corrected),18.5,210,42.0,304.0,60.0,no,nan,-7.0,2023.0,6.0,1.0,1.0,1.0,1.0,nan,nan,[13.124998838887555; 61.09652314141076; 47650.843533224106],13.124998838887555,insufficient data,223.1,nan
17a,mag compass orientation (IGRF corrected),19.4,207,30.0,304.0,60.0,no,nan,-7.0,2023.0,6.0,1.0,1.0,1.0,1.0,nan,nan,[13.124998838887555; 61.09652314141076; 47650.843533224106],13.124998838887555,insufficient data,220.1,nan
18a,mag compass orientation (IGRF corrected),20.3,204,48.0,304.0,60.0,no,nan,-7.0,2023.0,6.0,1.0,1.0,1.0,1.0,nan,nan,[13.124998838887555; 61.09652314141076; 47650.843533224106],13.124998838887555,insufficient data,217.1,nan
19a,mag compass orientation (IGRF corrected),25,148,35.0,304.0,60.0,no,nan,-7.0,2023.0,6.0,1.0,1.0,1.0,1.0,nan,nan,[13.124998838887555; 61.09652314141076; 47650.843533224106],13.124998838887555,insufficient data,161.1,nan
20a,mag compass orientation (IGRF corrected),25.6,215,47.0,304.0,60.0,no,nan,-7.0,2023.0,6.0,1.0,1.0,1.0,1.0,nan,nan,[13.124998838887555; 61.09652314141076; 47650.843533224106],13.124998838887555,insufficient data,228.1,nan
21a,mag compass orientation (IGRF corrected),26.9,177,40.0,304.0,60.0,no,nan,-7.0,2023.0,6.0,1.0,1.0,1.0,1.0,nan,nan,[13.124998838887555; 61.09652314141076; 47650.843533224106],13.124998838887555,insufficient data,190.1,nan
22a,mag compass orientation (IGRF corrected),28,206,35.0,304.0,60.0,no,nan,-7.0,2023.0,6.0,1.0,1.0,1.0,1.0,nan,nan,[13.124998838887555; 61.09652314141076; 47650.843533224106],13.124998838887555,insufficient data,219.1,nan
23a,mag compass orientation (IGRF corrected),29.3,188,42.0,304.0,60.0,no,nan,-7.0,2023.0,6.0,1.0,1.0,1.0,1.0,nan,nan,[13.124998838887555; 61.09652314141076; 47650.843533224106],13.124998838887555,insufficient data,201.1,nan
24a,sun compass orientation,31.2,173,52.0,304.0,60.0,no,129.0,-7.0,2023.0,6.0,1.0,14.0,52.0,1.0,nan,191.7,[13.124878588218753; 61.096523474062714; 47650.69615277757],13.124878588218753,18.69999999999999,191.7,nan
25a,sun compass orientation,33.7,156,60.0,304.0,60.0,no,110.0,-7.0,2023.0,6.0,1.0,14.0,55.0,1.0,nan,173.6,[13.124878154099447; 61.09652347526344; 47650.69562071827],13.124878154099447,17.599999999999994,173.6,nan
27a,sun compass orientation,38.9,151,61.0,304.0,60.0,no,104.0,-7.0,2023.0,6.0,1.0,14.0,59.0,1.0,nan,168.9,[13.124877575273729; 61.09652347686438; 47650.69491130587],13.124877575273729,17.900000000000006,168.9,nan
28a,mag compass orientation (IGRF corrected),39.7,113,63.0,304.0,60.0,no,nan,-7.0,2023.0,6.0,1.0,1.0,1.0,1.0,nan,nan,[13.124998838887555; 61.09652314141076; 47650.843533224106],13.124998838887555,insufficient data,126.1,nan
29a,mag compass orientation (IGRF corrected),42.3,176,30.0,304.0,60.0,no,nan,-7.0,2023.0,6.0,1.0,1.0,1.0,1.0,nan,nan,[13.124998838887555; 61.09652314141076; 47650.843533224106],13.124998838887555,insufficient data,189.1,nan
30a,mag compass orientation (IGRF corrected),51.5,154,45.0,304.0,60.0,no,nan,-7.0,2023.0,6.0,1.0,1.0,1.0,1.0,nan,nan,[13.124998838887555; 61.09652314141076; 47650.843533224106],13.124998838887555,insufficient data,167.1,nan
31a,mag compass orientation (IGRF corrected),54.2,162,32.0,304.0,60.0,no,nan,-7.0,2023.0,6.0,1.0,1.0,1.0,1.0,nan,nan,[13.124998838887555; 61.09652314141076; 47650.843533224106],13.124998838887555,insufficient data,175.1,nan
32a,mag compass orientation (IGRF corrected),55.7,192,39.0,304.0,60.0,no,nan,-7.0,2023.0,6.0,1.0,1.0,1.0,1.0,nan,nan,[13.124998838887555; 61.09652314141076; 47650.843533224106],13.124998838887555,insufficient data,205.1,nan
33a,sun compass orientation,57.9,164,30.0,304.0,60.0,no,110.0,-7.0,2023.0,6.0,1.0,15.0,19.0,1.0,nan,180.5,[13.124874681144794; 61.09652348486913; 47650.69136424401],13.124874681144794,16.5,180.5,nan
34a,mag compass orientation (IGRF corrected),61.2,151,32.0,304.0,60.0,no,nan,-7.0,2023.0,6.0,1.0,1.0,1.0,1.0,nan,nan,[13.124998838887555; 61.09652314141076; 47650.843533224106],13.124998838887555,insufficient data,164.1,nan
35a,mag compass orientation (IGRF corrected),63.2,197,24.0,304.0,60.0,no,nan,-7.0,2023.0,6.0,1.0,1.0,1.0,1.0,nan,nan,[13.124998838887555; 61.09652314141076; 47650.843533224106],13.124998838887555,insufficient data,210.1,nan
36a,mag compass orientation (IGRF corrected),65.3,125,27.0,304.0,60.0,no,nan,-7.0,2023.0,6.0,1.0,1.0,1.0,1.0,nan,nan,[13.124998838887555; 61.09652314141076; 47650.843533224106],13.124998838887555,insufficient data,138.1,nan
37a,sun compass orientation,66,222,50.0,304.0,60.0,no,155.0,-7.0,2023.0,6.0,1.0,16.0,19.0,1.0,nan,238.2,[13.124865998755391; 61.09652350888302; 47650.68072305854],13.124865998755391,16.19999999999999,238.2,nan
38a,sun compass orientation,69.1,209,45.0,304.0,60.0,no,137.0,-7.0,2023.0,6.0,1.0,16.0,21.0,1.0,nan,220.6,[13.124865709342336; 61.096523509683465; 47650.68036835237],13.124865709342336,11.599999999999994,220.6,nan
39a,mag compass orientation (IGRF corrected),71.3,203,53.0,304.0,60.0,no,nan,-7.0,2023.0,6.0,1.0,1.0,1.0,1.0,nan,nan,[13.124998838887555; 61.09652314141076; 47650.843533224106],13.124998838887555,insufficient data,216.1,nan
40a,sun compass orientation,71.4,128,33.0,304.0,60.0,no,58.0,-7.0,2023.0,6.0,1.0,16.0,28.0,1.0,nan,142.8,[13.124864696396642; 61.09652351248505; 47650.679126880736],13.124864696396642,14.800000000000011,142.8,nan
41a,sun compass orientation,73.6,198,26.0,304.0,60.0,no,130.0,-7.0,2023.0,6.0,1.0,16.0,30.0,1.0,nan,215.1,[13.12486440698357; 61.09652351328549; 47650.678772174535],13.12486440698357,17.099999999999994,215.1,nan
41b,sun compass orientation,73.6,198,26.0,304.0,60.0,no,130.0,-7.0,2023.0,6.0,1.0,16.0,30.0,1.0,nan,215.1,[13.12486440698357; 61.09652351328549; 47650.678772174535],13.12486440698357,17.099999999999994,215.1,nan
42a,sun compass orientation,75.5,169,31.0,304.0,60.0,no,100.0,-7.0,2023.0,6.0,1.0,16.0,33.0,1.0,nan,185.6,[13.124863972863968; 61.0965235144862; 47650.6782401153],13.124863972863968,16.599999999999994,185.6,nan
43a,sun compass orientation,78,224,49.0,304.0,60.0,no,155.0,-7.0,2023.0,6.0,1.0,16.0,36.0,1.0,nan,241.1,[13.12486353874435; 61.096523515686826; 47650.67770805604],13.12486353874435,17.099999999999994,241.1,nan
44a,sun compass orientation,80.4,189,30.0,304.0,60.0,no,120.0,-7.0,2023.0,6.0,1.0,16.0,40.0,1.0,nan,206.8,[13.124862959918177; 61.096523517287736; 47650.67699864367],13.124862959918177,17.80000000000001,206.8,nan
45a,sun compass orientation,83.5,173,48.0,304.0,60.0,no,103.0,-7.0,2023.0,6.0,1.0,16.0,42.0,1.0,nan,190.1,[13.124862670505108; 61.096523518088205; 47650.676643937535],13.124862670505108,17.099999999999994,190.1,nan
46a,sun compass orientation,86.5,152,42.0,304.0,60.0,no,81.0,-7.0,2023.0,6.0,1.0,16.0,46.0,1.0,nan,168.7,[13.124862091678889; 61.09652351968909; 47650.675934525185],13.124862091678889,16.69999999999999,168.7,nan
47a,sun compass orientation,87,266,30.0,304.0,60.0,no,188.0,-7.0,2023.0,6.0,1.0,16.0,52.0,1.0,nan,276.7,[13.124861223439565; 61.09652352209045; 47650.674870406685],13.124861223439565,10.699999999999989,276.7,nan
48a,sun compass orientation,88,190,12.0,304.0,60.0,no,118.0,-7.0,2023.0,6.0,1.0,16.0,55.0,1.0,nan,207.2,[13.124860789319879; 61.09652352329108; 47650.67433834736],13.124860789319879,17.19999999999999,207.2,nan
49a,sun compass orientation,88.6,279,41.0,304.0,60.0,no,204.0,-7.0,2023.0,6.0,1.0,16.0,58.0,1.0,nan,293.6,[13.124860355200175; 61.09652352449173; 47650.67380628813],13.124860355200175,14.600000000000023,293.6,nan
50a,sun compass orientation,92.6,147,48.0,304.0,60.0,no,74.0,-7.0,2023.0,6.0,1.0,17.0,1.0,1.0,nan,163.9,[13.124859921080493; 61.096523525692405; 47650.67327422885],13.124859921080493,16.900000000000006,163.9,nan
51a,sun compass orientation,95.3,137,40.0,304.0,60.0,no,62.0,-7.0,2023.0,6.0,1.0,17.0,3.0,1.0,nan,151.6,[13.124859631667348; 61.09652352649286; 47650.672919522716],13.124859631667348,14.599999999999994,151.6,nan
51b,sun compass orientation,95.3,137,40.0,304.0,60.0,no,62.0,-7.0,2023.0,6.0,1.0,17.0,3.0,1.0,nan,151.6,[13.124859631667348; 61.09652352649286; 47650.672919522716],13.124859631667348,14.599999999999994,151.6,nan
52a,sun compass orientation,97.5,187,40.0,304.0,60.0,no,113.0,-7.0,2023.0,6.0,1.0,17.0,6.0,1.0,nan,202.2,[13.124859197547638; 61.09652352769352; 47650.67238746345],13.124859197547638,15.199999999999989,202.2,nan
53a,sun compass orientation,99.9,163,26.0,304.0,60.0,no,88.0,-7.0,2023.0,6.0,1.0,17.0,8.0,1.0,nan,176.9,[13.124858908134488; 61.09652352849396; 47650.67203275727],13.124858908134488,13.900000000000006,176.9,nan
53b,sun compass orientation,99.9,163,26.0,304.0,60.0,no,88.0,-7.0,2023.0,6.0,1.0,17.0,8.0,1.0,nan,176.9,[13.124858908134488; 61.09652352849396; 47650.67203275727],13.124858908134488,13.900000000000006,176.9,nan
54a,sun compass orientation,102.5,162,20.0,304.0,60.0,no,87.0,-7.0,2023.0,6.0,1.0,17.0,10.0,1.0,nan,175.6,[13.12485861872133; 61.09652352929438; 47650.67167805109],13.12485861872133,13.599999999999994,175.6,nan
55a,sun compass orientation,103.6,159,36.0,304.0,60.0,no,83.0,-7.0,2023.0,6.0,1.0,17.0,14.0,1.0,nan,171.0,[13.124858039895026; 61.09652353089527; 47650.67096863878],13.124858039895026,12.0,171.0,nan
56a,sun compass orientation,106.6,143,25.0,304.0,60.0,no,64.0,-7.0,2023.0,6.0,1.0,17.0,22.0,1.0,nan,150.8,[13.124856882242335; 61.096523534097; 47650.669549814105],13.124856882242335,7.800000000000011,150.8,nan
57a,sun compass orientation,109,262,29.0,304.0,60.0,no,189.0,-7.0,2023.0,6.0,1.0,17.0,24.0,1.0,nan,275.5,[13.124856592829158; 61.096523534897464; 47650.66919510793],13.124856592829158,13.5,275.5,nan
58a,sun compass orientation,111.7,234,28.0,304.0,60.0,no,156.0,-7.0,2023.0,6.0,1.0,17.0,27.0,1.0,nan,242.1,[13.12485615870937; 61.09652353609808; 47650.668663048644],13.12485615870937,8.099999999999994,242.1,nan
59a,sun compass orientation,118.4,212,25.0,304.0,60.0,no,134.0,-7.0,2023.0,6.0,1.0,17.0,29.0,1.0,nan,219.8,[13.124855869296171; 61.09652353689855; 47650.6683083425],13.124855869296171,7.800000000000011,219.8,nan
60a,sun compass orientation,121.3,150,39.0,304.0,60.0,no,70.0,-7.0,2023.0,6.0,1.0,17.0,31.0,1.0,nan,155.5,[13.124855579882972; 61.09652353769897; 47650.66795363632],13.124855579882972,5.5,155.5,nan
61a,sun compass orientation,122.7,180,38.0,304.0,60.0,no,102.0,-7.0,2023.0,6.0,1.0,17.0,35.0,1.0,nan,186.9,[13.124855001056552; 61.09652353929983; 47650.66724422399],13.124855001056552,6.900000000000006,186.9,nan
62a,sun compass orientation,124.7,193,46.0,304.0,60.0,no,115.0,-7.0,2023.0,6.0,1.0,17.0,36.0,1.0,nan,199.8,[13.124854856349957; 61.09652353970002; 47650.66706687088],13.124854856349957,6.800000000000011,199.8,nan
63a,sun compass orientation,124.2,138,36.0,304.0,60.0,no,57.0,-7.0,2023.0,6.0,1.0,17.0,38.0,1.0,nan,141.5,[13.12485456693675; 61.09652354050048; 47650.66671216474],13.12485456693675,3.5,141.5,nan
64a,sun compass orientation,127.3,197,36.0,304.0,60.0,no,120.0,-7.0,2023.0,6.0,1.0,17.0,41.0,1.0,nan,204.1,[13.124854132816916; 61.09652354170112; 47650.666180105494],13.124854132816916,7.099999999999994,204.1,nan
65a,sun compass orientation,129.2,182,31.0,304.0,60.0,no,102.0,-7.0,2023.0,6.0,1.0,17.0,43.0,1.0,nan,185.8,[13.124853843403692; 61.09652354250156; 47650.6658253993],13.124853843403692,3.8000000000000114,185.8,nan
66a,sun compass orientation,153.7,172,26.0,304.0,60.0,no,92.0,-7.0,2023.0,6.0,1.0,17.0,47.0,1.0,nan,175.2,[13.124853264577233; 61.096523544102396; 47650.66511598699],13.124853264577233,3.1999999999999886,175.2,nan
67a,sun compass orientation,154.9,182,37.0,304.0,60.0,no,102.0,-7.0,2023.0,6.0,1.0,17.0,49.0,1.0,nan,185.0,[13.12485297516399; 61.09652354490282; 47650.66476128084],13.12485297516399,3.0,185.0,nan
68a,sun compass orientation,162.3,162,29.0,304.0,60.0,no,81.0,-7.0,2023.0,6.0,1.0,17.0,53.0,1.0,nan,163.4,[13.124852396337511; 61.09652354650369; 47650.664051868465],13.124852396337511,1.4000000000000057,163.4,nan
68b,sun compass orientation,162.3,162,29.0,304.0,60.0,no,81.0,-7.0,2023.0,6.0,1.0,17.0,53.0,1.0,nan,163.4,[13.124852396337511; 61.09652354650369; 47650.664051868465],13.124852396337511,1.4000000000000057,163.4,nan
69a,sun compass orientation,18.8,87,49.0,304.0,60.0,no,101.0,-8.0,2024.0,3.0,8.0,12.0,18.0,1.0,nan,100.1,[13.066288178027191; 61.096672851451395; 47579.00158826362],13.066288178027191,13.099999999999994,100.1,nan
70a,sun compass orientation,18.88,78,41.0,304.0,60.0,no,90.0,-8.0,2024.0,3.0,8.0,12.0,21.0,1.0,nan,90.2,[13.066287743784212; 61.09667285246455; 47579.001057744164],13.066287743784212,12.200000000000003,90.2,nan
71a,sun compass orientation,19.08,57,49.0,304.0,60.0,no,69.0,-8.0,2024.0,3.0,8.0,12.0,24.0,1.0,nan,70.3,[13.0662873095412; 61.09667285347771; 47579.00052722464],13.0662873095412,13.299999999999997,70.3,nan
72a,sun compass orientation,19.31,96,47.0,304.0,60.0,no,106.0,-8.0,2024.0,3.0,8.0,12.0,27.0,1.0,nan,108.5,[13.066286875298205; 61.09667285449086; 47578.99999670518],13.066286875298205,12.5,108.5,nan
73a,sun compass orientation,19.48,73,48.0,304.0,60.0,no,82.0,-8.0,2024.0,3.0,8.0,12.0,30.0,1.0,nan,85.6,[13.066286441055194; 61.096672855504046; 47578.99946618566],13.066286441055194,12.599999999999994,85.6,nan
74a,sun compass orientation,19.91,84,52.0,304.0,60.0,no,87.0,-8.0,2024.0,3.0,8.0,12.0,34.0,1.0,nan,92.1,[13.066285862064479; 61.0966728568549; 47578.99875882636],13.066285862064479,8.099999999999994,92.1,nan
75a,sun compass orientation,20.01,101,63.0,304.0,60.0,no,107.0,-8.0,2024.0,3.0,8.0,12.0,37.0,1.0,nan,113.2,[13.066285427821429; 61.096672857868064; 47578.99822830685],13.066285427821429,12.200000000000003,113.2,nan
76a,sun compass orientation,20.4,90,57.0,304.0,60.0,no,95.0,-8.0,2024.0,3.0,8.0,12.0,39.0,1.0,nan,101.9,[13.06628513832607; 61.09667285854347; 47578.99787462724],13.06628513832607,11.900000000000006,101.9,nan
77a,sun compass orientation,20.53,78,51.0,304.0,60.0,no,83.0,-8.0,2024.0,3.0,8.0,12.0,42.0,1.0,nan,91.0,[13.06628470408301; 61.096672859556634; 47578.99734410773],13.06628470408301,13.0,91.0,nan
78a,sun compass orientation,20.53,92,56.0,304.0,60.0,no,96.0,-8.0,2024.0,3.0,8.0,12.0,44.0,1.0,nan,104.8,[13.066284414587644; 61.09667286023207; 47578.99699042807],13.066284414587644,12.799999999999997,104.8,nan
69b,sun compass orientation,18.8,87,49.0,304.0,60.0,no,101.0,-8.0,2024.0,3.0,8.0,12.0,18.0,1.0,nan,100.1,[13.066288178027191; 61.096672851451395; 47579.00158826362],13.066288178027191,13.099999999999994,100.1,nan
70b,sun compass orientation,18.88,78,41.0,304.0,60.0,no,90.0,-8.0,2024.0,3.0,8.0,12.0,21.0,1.0,nan,90.2,[13.066287743784212; 61.09667285246455; 47579.001057744164],13.066287743784212,12.200000000000003,90.2,nan
71b,sun compass orientation,19.08,57,49.0,304.0,60.0,no,69.0,-8.0,2024.0,3.0,8.0,12.0,24.0,1.0,nan,70.3,[13.0662873095412; 61.09667285347771; 47579.00052722464],13.0662873095412,13.299999999999997,70.3,nan
72b,sun compass orientation,19.31,96,47.0,304.0,60.0,no,106.0,-8.0,2024.0,3.0,8.0,12.0,27.0,1.0,nan,108.5,[13.066286875298205; 61.09667285449086; 47578.99999670518],13.066286875298205,12.5,108.5,nan
73b,sun compass orientation,19.48,73,48.0,304.0,60.0,no,82.0,-8.0,2024.0,3.0,8.0,12.0,30.0,1.0,nan,85.6,[13.066286441055194; 61.096672855504046; 47578.99946618566],13.066286441055194,12.599999999999994,85.6,nan
74b,sun compass orientation,19.91,84,52.0,304.0,60.0,no,87.0,-8.0,2024.0,3.0,8.0,12.0,34.0,1.0,nan,92.1,[13.066285862064479; 61.0966728568549; 47578.99875882636],13.066285862064479,8.099999999999994,92.1,nan
75b,sun compass orientation,20.01,101,63.0,304.0,60.0,no,107.0,-8.0,2024.0,3.0,8.0,12.0,37.0,1.0,nan,113.2,[13.066285427821429; 61.096672857868064; 47578.99822830685],13.066285427821429,12.200000000000003,113.2,nan
76b,sun compass orientation,20.4,90,57.0,304.0,60.0,no,95.0,-8.0,2024.0,3.0,8.0,12.0,39.0,1.0,nan,101.9,[13.06628513832607; 61.09667285854347; 47578.99787462724],13.06628513832607,11.900000000000006,101.9,nan
77b,sun compass orientation,20.53,78,51.0,304.0,60.0,no,83.0,-8.0,2024.0,3.0,8.0,12.0,42.0,1.0,nan,91.0,[13.06628470408301; 61.096672859556634; 47578.99734410773],13.06628470408301,13.0,91.0,nan
78b,sun compass orientation,20.53,92,56.0,304.0,60.0,no,96.0,-8.0,2024.0,3.0,8.0,12.0,44.0,1.0,nan,104.8,[13.066284414587644; 61.09667286023207; 47578.99699042807],13.066284414587644,12.799999999999997,104.8,nan
