"","Timestamp","Comment","X","Y","U ppm","Th ppm","207Pb/235U...7","2s...8","206Pb/238U...9","2s...10","rho...11","238U/206Pb","2s...13","207Pb/206Pb...14","2s...15","rho...16","208Pb/232Th","2s...18","206Pb/238U...19","2s...20","207Pb/235U...21","2s...22","207Pb/206Pb...23","2s...24","Best Age","2s...26","Concordance","6/8 - 7/6","6/8 - 7/5","U238_CPS","U238_CPS_Int2SE","Th232_CPS","Th232_CPS_Int2SE","Pb208_CPS","Pb208_CPS_Int2SE","Pb207_CPS","Pb207_CPS_Int2SE","Pb206_CPS","Pb206_CPS_Int2SE","Pb204_CPS","Pb204_CPS_Int2SE","206Pb/204Pb","2s","discordant"
"1","45032.723663553239","MF22-18-228",38062,14100,138.8,38.5,0.00529437921972702,0.00230235010369839,0.0004941372354981,3.55726243057776e-05,0.78737,2023.72929656269,130.050686826854,0.077708081912346,0.0280330091142567,-0.408307432327937,0.00023,8.91187971193508e-05,3.18462652633369,0.229259231721908,5.361642,2.325455,1139.41992802822,717.479539077438,3.05717681740686,0.226787083777328,0.593964766812592,99.7205045788654,40.6035217134286,14.25,0.47,1.5,0.04,44.091,17.388,24.219,10.557,369.495,24.219,21.735,7.452,17,5.93412820480148,"no"
"2","45032.624970752317","MF22-18-24",42605,15142,365,152,0.00800253359978857,0.00130956634043488,0.000515645855762607,1.69008875506584e-05,0.020121,1939.3154988535,57.9591509063582,0.112557567741267,0.0181267647416741,0.22222856167908,0.00033,3.56168499449348e-05,3.32321003141045,0.108922041010149,8.093297,1.319155,1841.11524122341,291.523332484242,3.04356004189067,0.120019972382812,0.410612659269305,99.819500161804,58.9387361984807,37,1.7,5.83,0.42,231.633,26.082,97.497,16.146,976.833,45.954,27.324,6.21,35.75,8.29723673259322,"no"
"3","45032.689162152776","MF22-18-157",46933,14161,113.6,33.26,0.0108763710280979,0.00280816594951224,0.00161072364899732,8.22398176068016e-05,-0.39772,620.838963047759,28.8969449412234,0.0489735633217798,0.0140263894142434,0,0.00061,0.000120618572367608,10.3750383558436,0.529725420359534,10.984057,2.820685,146.565507893336,671.669749909822,10.339186344686,0.515062042146207,0.944554292458415,92.9212278489192,5.54456922570951,11.46,0.39,1.29,0.034,106.191,18.63,37.881,11.799,966.276,44.712,8.073,6.21,119.692307692308,92.2374364713737,"no"
"4","45032.71060716435","MF22-18-201",43510,13848,151,147.2,0.0135911020171098,0.00211703188450245,0.00177876013897183,9.55008376926611e-05,0.54497,562.18934643882,27.7536065152618,0.0554161064721665,0.00717346331976403,-0.234069453252188,0.000584,2.94180624786882e-05,11.4564384763795,0.615091066804034,13.707236,2.120775,429.049942807725,288.572191065205,11.3237035280951,0.56834983894134,0.835794937900105,97.3298123753594,16.4205061007229,15.31,0.73,5.8,0.21,442.152,22.977,68.931,9.936,1428.3,68.31,10.0602,5.2164,141.975308641975,73.929310496002,"no"
"5","45032.708562800923","MF22-18-196",42643,13872,183.8,87.4,0.0161048875289588,0.00271866217099514,0.00187450415007898,0.000135723984615837,0.58376,533.474412397469,35.6933515009308,0.0623117595825256,0.00790079514985675,-0.545165477485825,0.000727,8.42639400930196e-05,12.0725186760062,0.874114009823685,16.222348,2.716731,684.825831374878,270.681657207167,11.8274300746617,0.800162095420042,0.744190579406261,98.23714028839,25.5809413285536,18.63,0.7,3.448,0.097,322.299,42.849,99.981,18.63,1788.48,86.94,9.5013,5.0922,188.235294117647,101.298398205575,"no"
"6","45032.617008287038","MF22-18-8",39966,15304,192,108,0.195714726353358,0.0116709039924078,0.0018765702833656,9.71860154548997e-05,0.91677,532.887048710221,25.5061089033981,0.75641023292406,0.0280504973217945,-0.00346931514833591,0.00658,0.000264987848778015,12.0858128931286,0.62591420584048,181.493734,9.910757,4841.79407929984,53.0093027051098,1.21349651982473,0.814187277068346,0.0665907997187482,99.7503856484769,93.3409200269533,18.1,1.4,3.95,0.41,3278.88,478.17,1242,149.04,1800.9,223.56,109.917,14.904,16.3841807909605,3.01200548739216,"yes"
"7","45032.615779236112","MF22-18-5",39399,15469,160.5,66.8,0.0142996925277483,0.0026152483629667,0.00212617562016336,6.31325462816129e-05,0.73368,470.328034296229,12.8794729123228,0.0487782584683518,0.00765452441370462,-0.857765896166819,0.000726,6.95329447096842e-05,13.6916583887733,0.40654650006515,14.416831,2.618042,137.186290365237,368.651818879192,13.6488415183091,0.396365872598,0.949699566134789,90.0196598710255,5.03004170075037,14.76,0.36,2.389,0.065,219.213,22.977,70.794,13.041,1635.093,39.123,34.155,7.452,47.8727272727273,10.5075795449889,"no"
"8","45032.666562557868","MF22-18-110",40840,14495,194.3,142.6,0.0674947243659016,0.0130688790644033,0.00229508916604457,0.000157371407822387,0.90394,435.712919042458,27.7825374488264,0.213289261484139,0.0312569992161756,-0.493934846590844,0.00205,0.000342463136702332,14.7781432504397,1.01331889093038,66.319261,12.430898,2930.70488933517,236.979109308578,11.6540294791995,0.965870397733481,0.222833352751412,99.4957478214808,77.7166647703753,19.81,0.56,5.52,0.15,1434.51,254.61,447.12,93.15,2378.43,155.25,47.196,9.315,50.3947368421053,10.4761686901487,"yes"
"9","45032.633346574075","MF22-18-42",37500,15182,116.1,76.9,0.0178504151047428,0.00212929659747063,0.00232398848500105,8.76206117303457e-05,0.02052,430.29473099973,14.9244899113973,0.0557074235982652,0.00589215105033807,-0.124791250690825,0.000791,5.91546481690154e-05,14.9640109613328,0.564183429837857,17.965139,2.124135,440.726408259498,235.310093676079,14.7864148403456,0.52459070932715,0.832947119543176,96.6046938234475,16.705287048807,11.95,0.42,2.96,0.17,299.943,21.114,69.552,7.452,1460.592,58.374,32.292,7.452,45.2307692307692,10.5932468068311,"no"
"10","45032.644322442131","MF22-18-64",42056,14825,1046,910,0.0216185096809198,0.00127471565456772,0.00252337339921715,8.1257260598669e-05,0.29103,396.294896470828,12.3409578522812,0.0621359519571635,0.00323035663665794,-0.00164710775554646,0.000934,4.96481862710009e-05,16.24622103615,0.523158172661873,21.717159,1.266935,678.791145678975,111.095576563,15.9217081185785,0.500254375386381,0.748082248950101,97.60659502712,25.1917756086327,106.7,8.7,35.1,3.9,4024.08,360.18,747.063,28.566,13662,869.4,25.7715,6.0858,530.120481927711,129.650876700836,"no"
