localityId, localityName, dataId, x, y, latitude, longitude, zone, altitude, horiz_precision, vert_precision, planeType, dip, dipAzimuth, strike, declination, unitId, timedate, notes
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, 95f918d6f259b40dcb89aad4a5e584bd, 544453.15905545, 4170447.62914162, 37.68015110, -122.49586774, 10S, 6.42961297, 8.54496172, -1.00000000, Bedding, 67.30966187, 25.61137009, 295.61138916, 13.16529846, Merced Fm, Wed Nov  8 16:16:21 2023, 
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, 42988bf31607644d696f869c992774c1, 544456.12433606, 4170457.56479545, 37.68024051, -122.49583351, 10S, 3.01861138, 4.97116911, -1.00000000, Bedding, 54.94823456, 13.58208847, 283.58209229, 13.16529846, Merced Fm, Wed Nov  8 16:15:56 2023, 
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, 6e144ae881d34c034b8a4aacefeb48ba, 544453.26655281, 4170458.36071625, 37.68024782, -122.49586587, 10S, 2.86102851, 5.06350204, -1.00000000, Bedding, 69.90721130, 27.63719177, 297.63720703, 13.16529846, Merced Fm, Wed Nov  8 16:15:48 2023, 
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, a789ab01909e6f810f208cc6b9613139, 544458.63327790, 4170463.94334300, 37.68029788, -122.49580467, 10S, 3.20344130, 4.85412205, -1.00000000, Bedding, 77.04812622, 31.61677742, 301.61676025, 13.16529846, Merced Fm, Wed Nov  8 16:15:14 2023, 
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, 363aa8fa9e59e31db5eee26078b3f038, 544456.02820637, 4170462.86646488, 37.68028830, -122.49583427, 10S, 3.17029376, 4.87583578, -1.00000000, Bedding, 71.01174164, 36.92079544, 306.92080688, 13.16529846, Merced Fm, Wed Nov  8 16:15:01 2023, 
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, 1d5ae2932e9b671e795d01f6e04388e5, 544455.13943885, 4170464.27202169, 37.68030101, -122.49584427, 10S, 10.79438960, 5.76799447, -1.00000000, Bedding, 77.47431183, 26.62601471, 296.62600708, 13.16529846, Merced Fm, Wed Nov  8 16:14:52 2023, 
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, 8f4d4f6dc59a453f7caf6ef50a40c364, 544454.22560609, 4170463.23207595, 37.68029168, -122.49585469, 10S, 7.35650189, 6.40120736, -1.00000000, Bedding, 59.27322006, 22.83683205, 292.83682251, 13.16529846, Merced Fm, Wed Nov  8 16:14:34 2023, 
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, 43e0b1bd8329653e3671f74b71cf9aab, 544457.38434575, 4170488.09521238, 37.68051562, -122.49581736, 10S, 3.26270811, 4.81448573, -1.00000000, Bedding, 62.88372040, 31.16163063, 301.16162109, 13.16529846, Merced Fm, Wed Nov  8 16:13:51 2023, 
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, 8830ac64118f6f5a85eaa5cd56b43c16, 544456.34858981, 4170487.40289591, 37.68050943, -122.49582914, 10S, 3.25665593, 4.81858166, -1.00000000, Bedding, 72.21823883, 37.87987137, 307.87988281, 13.16529846, Merced Fm, Wed Nov  8 16:13:42 2023, 
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, 25f7b6213f6c86cef04c7fdf3f0c23b6, 544459.05091114, 4170488.73917590, 37.68052134, -122.49579842, 10S, 3.40901888, 4.71201945, -1.00000000, Bedding, 63.40949249, 39.19749832, 309.19750977, 13.16529846, Merced Fm, Wed Nov  8 16:13:28 2023, 
