localityId, localityName, dataId, x, y, latitude, longitude, zone, altitude, horiz_precision, vert_precision, timedate, notes
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, c8720619db4f3c6bd77bac95c526fc90, 544468.20414392, 4170327.26419335, 37.67906552, -122.49570447, 10S, 7.50964556, 10.29626615, -1.00000000, Wed Nov  8 14:26:49 2023, MF14
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, d08ee73dc7d2feff1d10ad38ad41484b, 544484.08193997, 4170261.59459773, 37.67847287, -122.49552842, 10S, 7.03731157, 10.67148146, -1.00000000, Wed Nov  8 12:49:48 2023, MF13
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, 40417950a8dbb0fd8fd2c57e780c446f, 544491.16774739, 4170136.99241174, 37.67734948, -122.49545567, 10S, 16.23998564, 12.33432248, -1.00000000, Wed Nov  8 11:58:06 2023, MF12
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, 5a1e05612fdc807af15b0279d1651048, 544510.11835604, 4170053.50848622, 37.67659611, -122.49524587, 10S, 19.55959531, 11.56895522, -1.00000000, Wed Nov  8 11:36:17 2023, MF11
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, e2248bcc67f931e04f6cb1ff19f15c27, 544503.54936637, 4169840.58259291, 37.67467732, -122.49533336, 10S, 6.57814525, 6.56352902, -1.00000000, Wed Nov  8 11:10:32 2023, MF10
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, 8fbc7923f2db1f28b9e73b2b3747bcd7, 544482.56157987, 4170404.91790985, 37.67976472, -122.49553691, 10S, 23.87607231, 9.99403335, -1.00000000, Wed Nov  8 10:50:16 2023, water
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, fc443792df9db25fdc0e7c2671660bb2, 543584.74800318, 4174998.09268051, 37.72120622, -122.50544343, 10S, 6.26732673, 5.07625394, -1.00000000, Thu Aug 10 14:53:24 2023, trail up to parking lot
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, fd37073e1938bcf172aea1c3ab21fc14, 543682.96296591, 4174351.70857167, 37.71537568, -122.50436784, 10S, 3.28621342, 4.79847250, -1.00000000, Thu Aug 10 14:04:39 2023, MF22-20 ash sample
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, 37db48f74c747f1342c8196036261ed8, 544340.76809323, 4171409.91308330, 37.68882964, -122.49708374, 10S, 28.43598243, 11.11961219, -1.00000000, Thu Jun  1 18:41:34 2023, top of MF-9
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, 00fec1874dec87b7eb2f4d458e92e446, 544344.14874669, 4171428.95330841, 37.68900109, -122.49704423, 10S, 10.24680624, 6.26014879, -1.00000000, Thu Jun  1 18:15:28 2023, ~4m thick conglomerate  possibly facies 2 of H2 in Clifton and Hunter framework
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, df6e384e6a3f99c077b2da0be0edc437, 544338.06772506, 4171372.16849942, 37.68848958, -122.49711666, 10S, 5.82191673, 7.16148387, -1.00000000, Thu Jun  1 18:06:09 2023, Base of MF9
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, 2d715c5f7425a67bc5d08bb9716d47b2, 544364.03685764, 4171221.95474522, 37.68713444, -122.49683128, 10S, 9.13749779, 8.76005935, -1.00000000, Thu Jun  1 17:56:05 2023, top of MF-8
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, 75ef3f69e3caf95fd92ca858c9a386f7, 544379.23127931, 4171113.08012526, 37.68615242, -122.49666558, 10S, 3.21400471, 4.84713428, -1.00000000, Thu Jun  1 15:29:22 2023, from here up  drilling approx every 2 m stratigraphically
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, e218189e7aa2869de8800d234568cb15, 544391.49964359, 4171007.60422216, 37.68520117, -122.49653287, 10S, 7.43516648, 7.29371590, -1.00000000, Thu Jun  1 13:55:33 2023, base of MF8
