localityId, localityName, dataId, x, y, latitude, longitude, zone, altitude, horiz_precision, vert_precision, heading, declination, image name, timedate, notes
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, ea6f6e94361f85e01deeefd7e38c3554, 544372.81111463, 4171141.88132643, 37.68641231, -122.49673664, 10S, 3.44435037, 4.68625518, -1.00000000, 182.03816223, 13.11635399, 186_1685662046.jpg, Thu Jun  1 16:27:26 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 17052efad9aa54071dbf7aed64a1f72f, 544378.21489888, 4171135.72876649, 37.68635660, -122.49667573, 10S, 3.60625541, 4.56283453, -1.00000000, 103.24786377, 13.11635399, 185_1685662010.jpg, Thu Jun  1 16:26:50 2023, MF8-45 and 46
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 9b2c77373c9b8af23d32120b29af82af, 544382.19505294, 4171114.34209812, 37.68616365, -122.49663189, 10S, 3.60625533, 4.56283459, -1.00000000, 111.26555634, 13.11635399, 184_1685660873.jpg, Thu Jun  1 16:07:53 2023, MF8-38
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 7cd1a4fa35b7dc836fda1ad4ced32198, 544383.91247315, 4171098.68587913, 37.68602245, -122.49661337, 10S, 3.60625530, 4.56283461, -1.00000000, 85.00406647, 13.11635399, 171_1685658310.jpg, Thu Jun  1 15:25:10 2023, MF8-34
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, cecc6e012fdacda524dcd5bbda496e10, 544386.50470037, 4171085.60549070, 37.68590444, -122.49658476, 10S, 3.33635975, 4.76374229, -1.00000000, 68.68405914, 13.11635399, 170_1685657824.jpg, Thu Jun  1 15:17:04 2023, Horizon with wood fragment  Gastropoda shells and carbonate concretions
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, ea8e21fd273500411458923fdbeefd08, 544385.46161300, 4171085.46529357, 37.68590322, -122.49659660, 10S, 3.60625528, 4.56283464, -1.00000000, 105.69111633, 13.11635399, 169_1685657728.jpg, Thu Jun  1 15:15:28 2023, MF8-30
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 24ef04f24d77b135073eb459960e808b, 544388.82272436, 4171067.88355533, 37.68574459, -122.49655955, 10S, 3.00000000, 3.53553391, -1.00000000, 138.56259155, 13.11635399, 168_1685657329.jpg, Thu Jun  1 15:08:49 2023, MF8-29
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 8ace8a3ad8c2e74c6cf3993a98870dc8, 544398.61731580, 4171053.76334334, 37.68561685, -122.49644933, 10S, 3.60625500, 4.56283485, -1.00000000, 111.84124756, 13.11635399, 167_1685656150.jpg, Thu Jun  1 14:49:10 2023, MF8-26
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, e01b35499b2a54fb29ed7c61540b0d78, 544399.26582524, 4171047.23374767, 37.68555797, -122.49644238, 10S, 4.01953236, 4.36564728, -1.00000000, 127.98005676, 13.11635399, 166_1685655824.jpg, Thu Jun  1 14:43:44 2023, MF8-24
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 6aa7d826e110d7bbc2b2e51888da0ee4, 544398.58069592, 4171038.54187830, 37.68547966, -122.49645068, 10S, 3.39246002, 4.72395513, -1.00000000, 124.69992065, 13.11635399, 165_1685654811.jpg, Thu Jun  1 14:26:51 2023, MF8-19
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 553920d77180cb2ea75f837c59f3ed2e, 544390.88288026, 4171033.75066368, 37.68543685, -122.49653827, 10S, 3.40120381, 4.71766358, -1.00000000, 112.88925171, 13.11635399, 164_1685654787.jpg, Thu Jun  1 14:26:27 2023, MF8-15
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, f9edacf4ecd6b137a3a4505d3dae6b33, 544388.30868265, 4171026.62968438, 37.68537280, -122.49656790, 10S, 3.31977142, 4.77531724, -1.00000000, 96.80380249, 13.11635399, 163_1685654725.jpg, Thu Jun  1 14:25:25 2023, MF8-12
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, a7724d64edb167888552d01914966a19, 544390.47425478, 4171024.82951228, 37.68535647, -122.49654345, 10S, 3.35701702, 4.74920770, -1.00000000, 54.58253479, 13.11635399, 162_1685654701.jpg, Thu Jun  1 14:25:01 2023, MF8-11
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 3a9762514c129fb4637c1eff00ff5d1f, 544386.20940795, 4171032.21617556, 37.68542325, -122.49659137, 10S, 3.26398370, 4.81362103, -1.00000000, 108.53556061, 13.11635399, 161_1685653975.jpg, Thu Jun  1 14:12:55 2023, Laminated fine sandstone with some soft sediment deformation and lenses of bivalve fossils. MF8-15 in lower right. 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 3d159f3094e07737c483aca326efd211, 544390.02156312, 4171026.32007753, 37.68536992, -122.49654849, 10S, 3.60625521, 4.56283469, -1.00000000, 58.18379211, 13.11635399, 160_1685653391.jpg, Thu Jun  1 14:03:11 2023, MF8-11
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, f228400ccf44c2da8a43fa23960db523, 544397.13312257, 4171001.90944244, 37.68514957, -122.49646932, 10S, 3.35429022, 4.75113398, -1.00000000, 72.63398743, 13.11635399, 159_1685651699.jpg, Thu Jun  1 13:34:59 2023, First MF8 core
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 9f7720f303f664c28c336e1879ae5a20, 544397.69935506, 4171002.13866065, 37.68515160, -122.49646289, 10S, 3.30515642, 4.78544440, -1.00000000, 35.66045380, 13.11635399, 158_1685651681.jpg, Thu Jun  1 13:34:41 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 7c11703e395808cb620044b820958857, 544385.49202126, 4171001.16020190, 37.68514338, -122.49660139, 10S, 3.34862097, 4.75513140, -1.00000000, 74.72377014, 13.11635399, 157_1685651659.jpg, Thu Jun  1 13:34:19 2023, Start of MF8 by pump can
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 12b2df1ced5356f2616507c3ba9267ce, 544395.43969672, 4170917.50017982, 37.68438886, -122.49649367, 10S, 3.60625516, 4.56283473, -1.00000000, 21.99715233, 13.11635399, 151_1685650793.jpg, Thu Jun  1 13:19:53 2023, Zone of landslides complicates sampling
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 69de85ceeffd7c68e2a18bbab653c396, 544410.22030777, 4170851.72154640, 37.68379528, -122.49633006, 10S, 3.28516585, 4.79918976, -1.00000000, 136.43212891, 13.11635399, 150_1685650719.jpg, Thu Jun  1 13:18:39 2023, MF7 is lower left foreground
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 33c5ff0e39d5ba0804cdff0be424e816, 544422.38775149, 4170837.29295792, 37.68366465, -122.49619294, 10S, 3.31929882, 4.77564575, -1.00000000, 47.38615417, 13.11635399, 150_1685650451.jpg, Thu Jun  1 13:14:11 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, dd782cc934a7c42410b3439407273c09, 544423.34186039, 4170835.74820765, 37.68365068, -122.49618222, 10S, 3.30942669, 4.78249224, -1.00000000, 39.02417755, 13.11635399, 149_1685650429.jpg, Thu Jun  1 13:13:49 2023, Combination of dark alteration veins and patchy oxidation along fractures
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 051ab1c94ce98059bf6b97844875ab07, 544425.09608752, 4170835.54735892, 37.68364878, -122.49616234, 10S, 3.60625454, 4.56283522, -1.00000000, 78.36645508, 13.11635399, 145_1685649460.jpg, Thu Jun  1 12:57:40 2023, Pmag mini-section MF7
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, a6737687318300dd47d752bec2bb1ffd, 565104.02949792, 4192098.97439644, 37.87405010, -122.25974308, 10S, 0.00000000, -1.00000000, -1.00000000, 312.72698975, 13.11635399, 132_1679963914.jpg, Mon Mar 27 17:38:34 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, bd062db76f600542e2d3c001ad82982c, 565104.02949792, 4192098.97439644, 37.87405010, -122.25974308, 10S, 0.00000000, -1.00000000, -1.00000000, 313.97598267, 13.11635399, 131_1679963902.jpg, Mon Mar 27 17:38:22 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 51c268dfa16064fcdc23cc7fcb10a2d2, 565104.02949792, 4192098.97439644, 37.87405010, -122.25974308, 10S, 22.25785446, 19.20225169, -1.00000000, 292.23803711, 13.11635399, 130_1679963890.jpg, Mon Mar 27 17:38:10 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, bcbf7d4c981ce2f3209166e074c44c6d, 565086.52536651, 4192091.82213906, 37.87398689, -122.25994273, 10S, 3.00000000, 23.87880750, -1.00000000, 305.28839111, 13.11635399, 129_1679963875.jpg, Mon Mar 27 17:37:55 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 6046bfaf0e4031aa3b152449be072d2d, 565104.02949792, 4192098.97439644, 37.87405010, -122.25974308, 10S, 0.00000000, -1.00000000, -1.00000000, 251.89785767, 13.11635399, 128_1679963856.jpg, Mon Mar 27 17:37:36 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, b448f42fd9f19a4a221a74b535e89b23, 544313.74380675, 4171548.47425763, 37.69007981, -122.49738181, 10S, 3.34198634, 4.75979667, -1.00000000, 136.06968689, 13.11635399, 126_1679957446.jpg, Mon Mar 27 15:50:46 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, dd2c55fa45ffe2d023ec83e0c0323066, 544318.62596088, 4171548.80658028, 37.69008256, -122.49732642, 10S, 3.60625648, 4.56283368, -1.00000000, 154.19973755, 13.11635399, 125_1679957428.jpg, Mon Mar 27 15:50:28 2023, Leah at top of MF6
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, e98c9450a2507bcfc99579f589c063ba, 544310.65182840, 4171548.81960904, 37.69008307, -122.49741686, 10S, 3.45759732, 4.67648990, -1.00000000, 145.39002991, 13.11635399, 123_1679956721.jpg, Mon Mar 27 15:38:41 2023, Collecting MF6
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 8e36d91b047405e8e96780d49f38849e, 544299.88233227, 4171690.40944236, 37.69135974, -122.49753039, 10S, 3.28881774, 4.79668791, -1.00000000, 110.19683838, 13.11635399, 113_1679955697.jpg, Mon Mar 27 15:21:37 2023, Top 30 cm thick pebble conglomerate bed of MF5 with chert and vein quartz well-rounded pebbles and bivalves at top that can be >10 cm
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 88f13b775785c9ade79cea0d9cc7fa35, 544296.51350331, 4171686.80810062, 37.69132745, -122.49756882, 10S, 4.00000000, 4.81319229, -1.00000000, 135.43856812, 13.11635399, 112_1679955592.jpg, Mon Mar 27 15:19:52 2023, Top of MF5
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 627a31258249a4aaccc41f1e191db4f5, 544299.15885226, 4171685.48776803, 37.69131542, -122.49753890, 10S, 3.10085356, 4.92028904, -1.00000000, 126.39703369, 13.11635399, 111_1679955325.jpg, Mon Mar 27 15:15:25 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 2f4c42c870b1c8aa106cb4a555299581, 544295.69348936, 4171673.10675007, 37.69120399, -122.49757895, 10S, 3.28274602, 4.80084530, -1.00000000, 108.16908264, 13.11635399, 110_1679954569.jpg, Mon Mar 27 15:02:49 2023, She’ll + carbonate concretion marker in MF5 mini section
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, e0052e0bd5ea5f4233b85b05557af492, 544296.23019301, 4171675.14247541, 37.69122232, -122.49757274, 10S, 3.40195595, 4.71712123, -1.00000000, 132.29714966, 13.11635399, 107_1679952677.jpg, Mon Mar 27 14:31:17 2023, Leah at base of MF5
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, c80dae4fe7ee3ffca4d66e557a850fb8, 544298.98168141, 4171670.98448998, 37.69118471, -122.49754179, 10S, 3.32553045, 4.77130844, -1.00000000, 131.45182800, 13.11635399, 106_1679952624.jpg, Mon Mar 27 14:30:24 2023, Finely laminated very fine sandstone with shell debris horizon and ~5 cm diameter carbonate concretions
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 1cd9eea8fa55ec02aacea63d7bea834c, 544296.37223058, 4171671.80682152, 37.69119225, -122.49757133, 10S, 4.00000000, 5.84562274, -1.00000000, 48.01845932, 13.11635399, 104_1679952441.jpg, Mon Mar 27 14:27:21 2023, Sampling MF5
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, e497d05d275706ee3a6accbc93ae0522, 544274.57215072, 4171809.55899793, 37.69243486, -122.49781022, 10S, 3.60625731, 4.56283303, -1.00000000, 105.35683441, 13.11635399, 100_1679951750.jpg, Mon Mar 27 14:15:50 2023, Goethite liesegang banding on fractures
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 2ad3e848abecf91270492843fbce472f, 544277.98897561, 4171811.82320373, 37.69245510, -122.49777133, 10S, 3.60625723, 4.56283309, -1.00000000, 171.16934204, 13.11635399, 99_1679951420.jpg, Mon Mar 27 14:10:20 2023, Sampling MF4 just below conglomerate marker bed
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 65d053bd89cbd507e266c382107e9e4b, 544277.67138926, 4171811.78895242, 37.69245481, -122.49777493, 10S, 3.60625723, 4.56283309, -1.00000000, 101.39325714, 13.11635399, 93_1679950355.jpg, Mon Mar 27 13:52:35 2023, Pebble shell conglomerate bed 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 7e34ef3c387231127ac8776917417dfe, 544272.90177698, 4171813.73959129, 37.69247262, -122.49782891, 10S, 3.60625734, 4.56283300, -1.00000000, 172.93667603, 13.11635399, 92_1679950215.jpg, Mon Mar 27 13:50:15 2023, Sampling MF4 below conglomerate marker bed 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, e2150828cdd9332c656a66259a9bd31c, 544272.46655688, 4171812.74117860, 37.69246365, -122.49783391, 10S, 3.25111447, 4.82232224, -1.00000000, 130.64060974, 13.11635399, 91_1679950128.jpg, Mon Mar 27 13:48:48 2023, 0.6 m thick pebble shell conglomerate which we think is 4300 ft in Hall section
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, e9d044f731e0d8280a6948fe3161fa33, 544244.34444069, 4171918.10584840, 37.69341466, -122.49814647, 10S, 3.25076566, 4.82255738, -1.00000000, 18.89170456, 13.11635399, 90_1679949780.jpg, Mon Mar 27 13:43:00 2023, Base of staff at base of MF3 which is 53 m below lignite marker bed
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, d56874591995167f9fc18efa537b1083, 544272.04583623, 4171963.80536130, 37.69382521, -122.49782950, 10S, 3.60625726, 4.56283307, -1.00000000, 87.82271576, 13.11635399, 89_1679949336.jpg, Mon Mar 27 13:35:36 2023, Pebbles in sandstone below lignite
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 580aeadac719cb95cc0fbc7f898420a3, 544274.47872563, 4171963.50220769, 37.69382236, -122.49780192, 10S, 4.11401612, 4.11088900, -1.00000000, 329.61511230, 13.11635399, 88_1679949149.jpg, Mon Mar 27 13:32:29 2023, 35 sticks to lignite 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, b396de816ea2e034e3a1689529e88821, 544244.13732775, 4171916.67438785, 37.69340177, -122.49814891, 10S, 3.39532982, 4.72189289, -1.00000000, 131.71893311, 13.11635399, 87_1679948419.jpg, Mon Mar 27 13:20:19 2023, Leah pointing at MF3 holes. The lignite bed is at the top of the cliff. 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, f4a087be59577178e96885f34891af01, 544224.80666273, 4171971.23210552, 37.69389443, -122.49836485, 10S, 3.38287065, 4.73082691, -1.00000000, 122.58093262, 13.11635399, 86_1679948348.jpg, Mon Mar 27 13:19:08 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, f6bc399514a1cf54fa913d81d74a53cc, 544244.00931816, 4171918.15604072, 37.69341513, -122.49815027, 10S, 4.09510243, 4.12973039, -1.00000000, 66.57009125, 13.11635399, 80_1679947751.jpg, Mon Mar 27 13:09:11 2023, The 3 samples of MF3
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, c1a8a8cfa7006e2d84f1c246ce180736, 544238.29346286, 4171916.04228247, 37.69339635, -122.49821523, 10S, 8.00000000, 4.74795574, -1.00000000, 169.46731567, 13.11635399, 79_1679947733.jpg, Mon Mar 27 13:08:53 2023, Red chert pebble
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 6bc167ce8be0d5a0944befe00c51a39c, 544242.38332448, 4171915.43645022, 37.69339069, -122.49816888, 10S, 4.00000000, 4.05290833, -1.00000000, 345.29751587, 13.11635399, 77_1679946983.jpg, Mon Mar 27 12:56:23 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, f82b5c1f429170a833ecb0eed292d8c7, 544240.41311330, 4171926.15777766, 37.69348742, -122.49819058, 10S, 3.31582007, 4.77806177, -1.00000000, 136.07614136, 13.11635399, 76_1679946930.jpg, Mon Mar 27 12:55:30 2023, Sampling MF3
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 63768dca70d77f5bfb5a618ee7db0b7e, 544219.97060416, 4172089.22212733, 37.69495811, -122.49841254, 10S, 3.00000000, 3.53553391, -1.00000000, 66.14720154, 13.11635399, 75_1679945094.jpg, Mon Mar 27 12:24:54 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, b3d2062db41bc816716faf0e46f76ada, 544217.62776622, 4172088.08826881, 37.69494800, -122.49843918, 10S, 3.36570701, 4.74305317, -1.00000000, 50.90384674, 13.11635399, 74_1679944510.jpg, Mon Mar 27 12:15:10 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, cf3d6d2affdf521a5754e83236fcba17, 544219.60392952, 4172066.39399896, 37.69475238, -122.49841809, 10S, 3.38004929, 4.73284311, -1.00000000, 153.97105408, 13.11635399, 73_1679943762.jpg, Mon Mar 27 12:02:42 2023, The lignite bed is in the center of this photo
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 5e477c11e24322efc8a0213d12ea1542, 544203.74327575, 4172092.69544957, 37.69499020, -122.49859639, 10S, 3.37933791, 4.73335107, -1.00000000, 138.27038574, 13.11635399, 72_1679943710.jpg, Mon Mar 27 12:01:50 2023, Leah and Yiming sampling MF2. The lignite bed is in the cliff face past them. 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, dfc3be4f6309377acf385e1d8a146851, 544221.46221574, 4172089.96919422, 37.69496477, -122.49839558, 10S, 3.60625832, 4.56283223, -1.00000000, 325.49090576, 13.11635399, 71_1679943409.jpg, Mon Mar 27 11:56:49 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 9bc4e40dcd1f99fc8211a7680841c9c0, 544217.51331107, 4172086.20884389, 37.69493107, -122.49844060, 10S, 3.29807999, 4.79032414, -1.00000000, 56.39945221, 13.11635399, 70_1679943187.jpg, Mon Mar 27 11:53:07 2023, Photo of orienter 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 11c8dfd1f284b731e085cd802eaf7113, 544218.42131705, 4172085.77537055, 37.69492712, -122.49843032, 10S, 3.38044966, 4.73255714, -1.00000000, 339.10122681, 13.11635399, 67_1679942584.jpg, Mon Mar 27 11:43:04 2023, Sampling from MF2 mini-section
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 28f85520b0ca87754eef44b5d1e43749, 544475.79109535, 4170131.43050087, 37.67730009, -122.49563038, 10S, 3.28595483, 4.79864959, -1.00000000, 92.74853516, 13.16307068, 55_1664150894.jpg, Sun Sep 25 17:08:14 2022, Location of collected sample MF22-13. ~1360 m in Clifton section see field notes for more info. 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, d850feea1e7bf7fd08a4f9027992f247, 544477.36048042, 4170131.87834569, 37.67730405, -122.49561256, 10S, 3.28295988, 4.80069906, -1.00000000, 102.74246979, 13.16307068, 54_1664150876.jpg, Sun Sep 25 17:07:56 2022, Foram/mollusk sample collected in v fn sandstone
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 526a751fc730005754a0177424e59eb3, 544545.46040001, 4170028.43745450, 37.67636843, -122.49484663, 10S, 24.00000000, 27.34724462, -1.00000000, 300.67822266, 13.16307068, 49_1664149201.jpg, Sun Sep 25 16:40:01 2022, Pebble conglomerate 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, c3de8eff65717f1c9abee5e8dd67164e, 544539.91471495, 4170030.47923672, 37.67638710, -122.49490939, 10S, 3.42304220, 4.70184210, -1.00000000, 334.74108887, 13.16307068, 48_1664148882.jpg, Sun Sep 25 16:34:42 2022, Interval with pebble to cobble conglomerates
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 046183d5da1cd214e0a497c18600dc7c, 544527.97990625, 4170026.33969975, 37.67635037, -122.49504498, 10S, 3.38014917, 4.73277177, -1.00000000, 24.08047104, 13.16307068, 47_1664148174.jpg, Sun Sep 25 16:22:54 2022, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 26adfd4fac06e9f7b2ad7e65b780bea2, 544531.95426786, 4170031.49404746, 37.67639664, -122.49499960, 10S, 6.00000000, 5.58371042, -1.00000000, 16.69241142, 13.16307068, 46_1664148158.jpg, Sun Sep 25 16:22:38 2022, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, ce08b70b1d4f92fcbdd35fb0b12da87d, 544526.18398092, 4170030.21220735, 37.67638536, -122.49506511, 10S, 3.39389300, 4.72292571, -1.00000000, 20.68422699, 13.16307068, 45_1664147720.jpg, Sun Sep 25 16:15:20 2022, Blake in front of the exposure photographed in the last image. 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, c516b6c781a0caeb7f32a4b10c9380bd, 544531.70400269, 4170035.17378661, 37.67642981, -122.49500221, 10S, 3.51342699, 4.63469177, -1.00000000, 25.89234734, 13.16307068, 44_1664147677.jpg, Sun Sep 25 16:14:37 2022, Here in big landslide scar that I think correlates to the QQ/RR contact there is a dark grey brown shale with a thin sandstone bed that is intriguing as a DZ target. 
