localityId, localityName, dataId, x, y, latitude, longitude, zone, altitude, horiz_precision, vert_precision, planeType, dip, dipAzimuth, strike, declination, unitId, timedate, notes
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 19fa9548e55b1af7bb9b5680d3a10ad3, 544471.77902675, 4170344.77615383, 37.67922318, -122.49566286, 10S, 3.60625380, 4.56283580, -1.00000000, Bedding, 62.56623077, 24.84574318, 294.84573364, 13.11635399, Merced, Wed Nov  8 14:33:16 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, ec2d0b36377f1ac232812a501817b289, 544460.03950738, 4170361.88890746, 37.67937799, -122.49579494, 10S, 3.60625380, 4.56283580, -1.00000000, Bedding, 67.18157196, 21.06765366, 291.06765747, 13.11635399, Merced, Wed Nov  8 14:32:49 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 6db476879bd3b74dc5b1f2b950c73807, 544479.51974044, 4170277.08374927, 37.67861269, -122.49557921, 10S, 3.36134408, 4.74614612, -1.00000000, Bedding, 65.12725830, 33.33580399, 303.33581543, 13.11635399, Merced, Wed Nov  8 12:54:16 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 16fd4ce7ebfc33fb29894ae7bc9049f2, 544480.18328846, 4170252.06471637, 37.67838716, -122.49557321, 10S, 3.33893407, 4.76193829, -1.00000000, Bedding, 56.76644516, 32.99528122, 302.99526978, 13.11635399, Merced, Wed Nov  8 12:51:58 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 5239a28c0714671a58bb031953ff3d82, 544478.23050773, 4170255.54924047, 37.67841866, -122.49559514, 10S, 3.34520310, 4.75753647, -1.00000000, Bedding, 69.53977966, 30.05711937, 300.05712891, 13.11635399, Merced, Wed Nov  8 12:51:36 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 6dff005d9943e1275b54d986568cd965, 544481.98607104, 4170265.05679842, 37.67850417, -122.49555197, 10S, 3.31125699, 4.78122517, -1.00000000, Bedding, 65.62953186, 32.98772049, 302.98773193, 13.11635399, Merced, Wed Nov  8 12:49:23 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, f2d0e74ecced875b899b05185918fcb6, 544480.74977891, 4170135.61478085, 37.67733757, -122.49557389, 10S, 3.44118020, 4.68858357, -1.00000000, Bedding, 64.12133026, 32.64561844, 302.64562988, 13.11635399, Merced, Wed Nov  8 12:20:54 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 81d1eb03bce06a4aa6c1116d793ae32d, 544481.85589436, 4170138.51815776, 37.67736368, -122.49556117, 10S, 3.41899651, 4.70478479, -1.00000000, Bedding, 66.25646210, 29.16267014, 299.16265869, 13.11635399, Merced, Wed Nov  8 12:20:25 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 4dfa7131abd4fbb0d204194b6d8a2427, 544478.60731319, 4170137.67268751, 37.67735622, -122.49559806, 10S, 3.37718218, 4.73488939, -1.00000000, Bedding, 66.54738617, 39.82520294, 309.82519531, 13.11635399, Merced, Wed Nov  8 12:20:02 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 3b9442d39252a67fe3ddf1798564d9fc, 544482.54990492, 4170133.20719589, 37.67731578, -122.49555363, 10S, 3.39046727, 4.72538556, -1.00000000, Bedding, 70.22271729, 37.37444305, 307.37445068, 13.11635399, Merced, Wed Nov  8 12:19:38 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 3f0b50f26a7518b5f6e7d25649904769, 544484.42625603, 4170131.70207446, 37.67730212, -122.49553244, 10S, 3.37276536, 4.73803660, -1.00000000, Bedding, 67.66585541, 29.23103333, 299.23101807, 13.11635399, Merced, Wed Nov  8 12:19:08 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 084a6da02c60915244eb57cf56609300, 544486.08499573, 4170136.54470350, 37.67734569, -122.49551334, 10S, 3.24727329, 4.82490966, -1.00000000, Bedding, 60.33237457, 37.72418213, 307.72418213, 13.11635399, Merced, Wed Nov  8 12:17:38 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 0b4dd4d76e5e9f4fbcf042a5a7e0d217, 544485.29314219, 4170134.97438158, 37.67733157, -122.49552241, 10S, 3.27363556, 4.80706222, -1.00000000, Bedding, 68.51317596, 29.90414810, 299.90414429, 13.11635399, Merced, Wed Nov  8 12:17:11 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 59623bb003b0c85cf7f972fd15f1a607, 544484.66248534, 4170134.87620550, 37.67733072, -122.49552957, 10S, 3.25406784, 4.82032981, -1.00000000, Bedding, 72.96596527, 28.63213730, 298.63214111, 13.11635399, Merced, Wed Nov  8 12:16:56 2023, 
626cf2e82d08d9ec2616b3d95c4d8903, Locality 1, 28c5f2de30d9cda3f04bcb392151fa5d, 544505.71125185, 4170053.77487379, 37.67659873, -122.49529583, 10S, 3.29697454, 4.79108505, -1.00000000, Bedding, 55.47800064, 16.05334854, 286.05334473, 13.11635399, Merced, Wed Nov  8 11:44:45 2023, 
