,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,MF9-,,,,,,,,,,,,,,,,,,,,,
site_name,Merced Formation 9,,,,,,,,,,,,,,,,,,,,,
site_lat,37.68838,(ºN),,,,,,,,,,,,,,,,,,,,
site_long,237.5029,(ºE),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0,(meters),only used if no sun data,,,,[default is yes] (yes or no),all sun compass info is optional,,,,,,,,Optional Field,default core strike,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1a,,0,154,43,310,69,no,68,-7,2023,6,1,18,22,1,,,,,,,
2a,,2.7,169,38,310,69,no,84,-7,2023,6,1,18,19,1,,,,,,,
3a,,8.5,174,44,310,69,no,90,-7,2023,6,1,18,23,1,,,,,,,
4a,,12.6,180,53,310,69,no,94,-7,2023,6,1,18,27,1,,,,,,,
5a,,14.4,185,32,310,69,no,98,-7,2023,6,1,18,29,1,,,,,,,
6a,,16.5,186,36,310,69,no,99,-7,2023,6,1,18,31,1,,,,,,,
7a,,19.1,205,33,310,69,no,117,-7,2023,6,1,18,34,1,,,,,,,
8a,,22,202,40,310,69,no,115,-7,2023,6,1,18,36,1,,,,,,,
9a,,26.6,113,38,310,69,no,23,-7,2023,6,1,18,38,1,,,,,,,
