,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,MF9-,,,,,,,,,,,,,,,,,,,,,
site_name,Merced Formation 9,,,,,,,,,,,,,,,,,,,,,
site_lat,37.68838,(ºN),,,,,,,,,,,,,,,,,,,,
site_long,237.5029,(ºE),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1a,sun compass orientation,0,154,43.0,310.0,69.0,no,68,-7,2023,6,1,18,22,1.0,nan,146.4,[13.125663286289912; 61.09907720992914; 47652.38251239355],13.125663286289912,-7.599999999999994,146.4,nan
2a,sun compass orientation,2.7,169,38.0,310.0,69.0,no,84,-7,2023,6,1,18,19,1.0,nan,162.8,[13.125663720408575; 61.09907720877589; 47652.383044481096],13.125663720408575,-6.199999999999989,162.8,nan
3a,sun compass orientation,8.5,174,44.0,310.0,69.0,no,90,-7,2023,6,1,18,23,1.0,nan,168.3,[13.125663141583674; 61.09907721031356; 47652.382335031034],13.125663141583674,-5.699999999999989,168.3,nan
4a,sun compass orientation,12.6,180,53.0,310.0,69.0,no,94,-7,2023,6,1,18,27,1.0,nan,171.7,[13.125662562758789; 61.099077211851245; 47652.381625581],13.125662562758789,-8.300000000000011,171.7,nan
5a,sun compass orientation,14.4,185,32.0,310.0,69.0,no,98,-7,2023,6,1,18,29,1.0,nan,175.5,[13.125662273346322; 61.09907721262009; 47652.38127085601],13.125662273346322,-9.5,175.5,nan
6a,sun compass orientation,16.5,186,36.0,310.0,69.0,no,99,-7,2023,6,1,18,31,1.0,nan,176.2,[13.125661983933865; 61.099077213388924; 47652.38091613098],13.125661983933865,-9.800000000000011,176.2,nan
7a,sun compass orientation,19.1,205,33.0,310.0,69.0,no,117,-7,2023,6,1,18,34,1.0,nan,193.8,[13.125661549815161; 61.099077214542156; 47652.38038404346],13.125661549815161,-11.199999999999989,193.8,nan
8a,sun compass orientation,22,202,40.0,310.0,69.0,no,115,-7,2023,6,1,18,36,1.0,nan,191.5,[13.125661260402689; 61.099077215311; 47652.380029318425],13.125661260402689,-10.5,191.5,nan
9a,sun compass orientation,26.6,113,38.0,310.0,69.0,no,23,-7,2023,6,1,18,38,1.0,nan,99.2,[13.125660970990204; 61.09907721607979; 47652.37967459341],13.125660970990204,-13.799999999999997,99.2,nan
