,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,MF14-,,,,,,,,,,,,,,,,,,,,,
site_name,Merced Formation 14,,,,,,,,,,,,,,,,,,,,,
site_lat,37.678889,(ºN),,,,,,,,,,,,,,,,,,,,
site_long,-122.495556,(ºE),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1a,sun compass orientation,0,157,44.0,301.0,67.0,no,131,-8,2023,11,8,14,18,1.0,nan,169.7,[13.089975935099188; 61.09160325324476; 47606.44044163873],13.089975935099188,12.699999999999989,169.7,nan
2a,sun compass orientation,1.8,201,44.0,301.0,67.0,no,174,-8,2023,11,8,14,21,1.0,nan,213.4,[13.089975500232967; 61.091603254434446; 47606.43990968429],13.089975500232967,12.400000000000006,213.4,nan
3a,sun compass orientation,5.5,183,51.0,301.0,67.0,no,155,-8,2023,11,8,14,23,1.0,nan,194.9,[13.089975210322146; 61.09160325522761; 47606.43955504804],13.089975210322146,11.900000000000006,194.9,nan
4a,sun compass orientation,7,197,28.0,301.0,67.0,no,169,-8,2023,11,8,14,25,1.0,nan,209.3,[13.089974920411306; 61.09160325602074; 47606.439200411754],13.089974920411306,12.300000000000011,209.3,nan
