tab	samples
sample	site	height	geologic_classes	geologic_types	lithologies	analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes
MF8-25	MF8	33.7					   83.6	    0.0	   60.0	  394.0	  -60.0	This study	SO-CMD-NORTH
MF8-27	MF8	38.9					   78.9	    0.0	   60.0	  394.0	  -61.0	This study	SO-CMD-NORTH
MF8-28	MF8	39.7					   36.1	    0.0	   60.0	  394.0	  -63.0	This study	SO-CMD-NORTH
MF8-29	MF8	42.3					   99.1	    0.0	   60.0	  394.0	  -30.0	This study	SO-CMD-NORTH
MF8-30	MF8	51.5					   77.1	    0.0	   60.0	  394.0	  -45.0	This study	SO-CMD-NORTH
MF8-31	MF8	54.2					   85.1	    0.0	   60.0	  394.0	  -32.0	This study	SO-CMD-NORTH
MF8-32	MF8	55.7					  115.1	    0.0	   60.0	  394.0	  -39.0	This study	SO-CMD-NORTH
MF8-33	MF8	57.9					   90.5	    0.0	   60.0	  394.0	  -30.0	This study	SO-CMD-NORTH
MF8-34	MF8	61.2					   74.1	    0.0	   60.0	  394.0	  -32.0	This study	SO-CMD-NORTH
MF8-35	MF8	63.2					  120.1	    0.0	   60.0	  394.0	  -24.0	This study	SO-CMD-NORTH
MF8-36	MF8	65.3					   48.1	    0.0	   60.0	  394.0	  -27.0	This study	SO-CMD-NORTH
MF8-37	MF8	66					  148.2	    0.0	   60.0	  394.0	  -50.0	This study	SO-CMD-NORTH
MF8-38	MF8	69.1					  130.6	    0.0	   60.0	  394.0	  -45.0	This study	SO-CMD-NORTH
MF8-39	MF8	71.3					  126.1	    0.0	   60.0	  394.0	  -53.0	This study	SO-CMD-NORTH
MF8-40	MF8	71.4					   52.8	    0.0	   60.0	  394.0	  -33.0	This study	SO-CMD-NORTH
MF8-41	MF8	73.6					  125.1	    0.0	   60.0	  394.0	  -26.0	This study	SO-CMD-NORTH
MF8-42	MF8	75.5					   95.6	    0.0	   60.0	  394.0	  -31.0	This study	SO-CMD-NORTH
MF8-43	MF8	78					  151.1	    0.0	   60.0	  394.0	  -49.0	This study	SO-CMD-NORTH
MF8-44	MF8	80.4					  116.8	    0.0	   60.0	  394.0	  -30.0	This study	SO-CMD-NORTH
MF8-45	MF8	83.5					  100.1	    0.0	   60.0	  394.0	  -48.0	This study	SO-CMD-NORTH
MF8-46	MF8	86.5					   78.7	    0.0	   60.0	  394.0	  -42.0	This study	SO-CMD-NORTH
MF8-47	MF8	87					  186.7	    0.0	   60.0	  394.0	  -30.0	This study	SO-CMD-NORTH
MF8-48	MF8	88					  117.2	    0.0	   60.0	  394.0	  -12.0	This study	SO-CMD-NORTH
MF8-49	MF8	88.6					  203.6	    0.0	   60.0	  394.0	  -41.0	This study	SO-CMD-NORTH
MF8-50	MF8	92.6					   73.9	    0.0	   60.0	  394.0	  -48.0	This study	SO-CMD-NORTH
MF8-51	MF8	95.3					   61.6	    0.0	   60.0	  394.0	  -40.0	This study	SO-CMD-NORTH
MF8-52	MF8	97.5					  112.2	    0.0	   60.0	  394.0	  -40.0	This study	SO-CMD-NORTH
MF8-53	MF8	99.9					   86.9	    0.0	   60.0	  394.0	  -26.0	This study	SO-CMD-NORTH
MF8-54	MF8	102.5					   85.6	    0.0	   60.0	  394.0	  -20.0	This study	SO-CMD-NORTH
MF8-55	MF8	103.6					   81.0	    0.0	   60.0	  394.0	  -36.0	This study	SO-CMD-NORTH
MF8-56	MF8	106.6					   60.8	    0.0	   60.0	  394.0	  -25.0	This study	SO-CMD-NORTH
