tab	sites											
age_high	age_low	age_unit	citations	geologic_classes	geologic_types	height	lat	lithologies	location	lon	method_codes	site
773	598	ka	This study	Sedimentary	Sediment Layer	969.55	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-13
773	598	ka	This study	Sedimentary	Sediment Layer	969.05	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-14
773	598	ka	This study	Sedimentary	Sediment Layer	969.35	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-15
773	598	ka	This study	Sedimentary	Sediment Layer	971.55	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-16
773	598	ka	This study	Sedimentary	Sediment Layer	972.45	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-17
773	598	ka	This study	Sedimentary	Sediment Layer	973.35	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-18
773	598	ka	This study	Sedimentary	Sediment Layer	978.05	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-19
773	598	ka	This study	Sedimentary	Sediment Layer	978.65	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-20
773	598	ka	This study	Sedimentary	Sediment Layer	979.95	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-21
773	598	ka	This study	Sedimentary	Sediment Layer	981.05	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-22
773	598	ka	This study	Sedimentary	Sediment Layer	982.35	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-23
773	598	ka	This study	Sedimentary	Sediment Layer	984.25	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-24
773	598	ka	This study	Sedimentary	Sediment Layer	986.75	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-25
773	598	ka	This study	Sedimentary	Sediment Layer	991.95	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-27
773	598	ka	This study	Sedimentary	Sediment Layer	992.75	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-28
773	598	ka	This study	Sedimentary	Sediment Layer	995.35	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-29
773	598	ka	This study	Sedimentary	Sediment Layer	1004.55	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-30
773	598	ka	This study	Sedimentary	Sediment Layer	1007.25	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-31
773	598	ka	This study	Sedimentary	Sediment Layer	1008.75	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-32
773	598	ka	This study	Sedimentary	Sediment Layer	1010.95	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-33
773	598	ka	This study	Sedimentary	Sediment Layer	1014.25	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-34
773	598	ka	This study	Sedimentary	Sediment Layer	1016.25	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-35
773	598	ka	This study	Sedimentary	Sediment Layer	1018.35	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-36
773	598	ka	This study	Sedimentary	Sediment Layer	1019.05	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-37
773	598	ka	This study	Sedimentary	Sediment Layer	1022.15	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-38
773	598	ka	This study	Sedimentary	Sediment Layer	1024.35	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-39
773	598	ka	This study	Sedimentary	Sediment Layer	1024.45	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-40
773	598	ka	This study	Sedimentary	Sediment Layer	1026.65	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-41
773	598	ka	This study	Sedimentary	Sediment Layer	1028.55	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-42
773	598	ka	This study	Sedimentary	Sediment Layer	1031.05	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-43
773	598	ka	This study	Sedimentary	Sediment Layer	1033.45	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-44
773	598	ka	This study	Sedimentary	Sediment Layer	1036.55	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-45
773	598	ka	This study	Sedimentary	Sediment Layer	1039.55	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-46
773	598	ka	This study	Sedimentary	Sediment Layer	1040.05	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-47
773	598	ka	This study	Sedimentary	Sediment Layer	1041.05	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-48
773	598	ka	This study	Sedimentary	Sediment Layer	1041.65	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-49
773	598	ka	This study	Sedimentary	Sediment Layer	1045.65	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-50
773	598	ka	This study	Sedimentary	Sediment Layer	1048.35	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-51
773	598	ka	This study	Sedimentary	Sediment Layer	1050.55	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-52
773	598	ka	This study	Sedimentary	Sediment Layer	1052.95	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-53
773	598	ka	This study	Sedimentary	Sediment Layer	1055.55	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-54
773	598	ka	This study	Sedimentary	Sediment Layer	1056.65	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-55
773	598	ka	This study	Sedimentary	Sediment Layer	1059.65	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-56
773	598	ka	This study	Sedimentary	Sediment Layer	1062.05	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-57
773	598	ka	This study	Sedimentary	Sediment Layer	1064.75	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-58
773	598	ka	This study	Sedimentary	Sediment Layer	1071.45	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-59
773	598	ka	This study	Sedimentary	Sediment Layer	1074.35	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-60
773	598	ka	This study	Sedimentary	Sediment Layer	1075.75	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-61
773	598	ka	This study	Sedimentary	Sediment Layer	1077.75	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-62
773	598	ka	This study	Sedimentary	Sediment Layer	1077.25	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF8-63
