tab	samples											
azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	dip	geologic_classes	geologic_types	height	lithologies	method_codes	sample	site
96.9	0	60	394	This study	-38	Sedimentary	Sediment Layer	1075.75	Sandstone	SO-CMD-NORTH	MF8-61	MF8-61
109.8	0	60	394	This study	-46	Sedimentary	Sediment Layer	1077.75	Sandstone	SO-CMD-NORTH	MF8-62	MF8-62
51.5	0	60	394	This study	-36	Sedimentary	Sediment Layer	1077.25	Sandstone	SO-CMD-NORTH	MF8-63	MF8-63
114.1	0	60	394	This study	-36	Sedimentary	Sediment Layer	1080.35	Sandstone	SO-CMD-NORTH	MF8-64	MF8-64
95.8	0	60	394	This study	-31	Sedimentary	Sediment Layer	1082.25	Sandstone	SO-CMD-NORTH	MF8-65	MF8-65
85.2	0	60	394	This study	-26	Sedimentary	Sediment Layer	1106.75	Sandstone	SO-CMD-NORTH	MF8-66	MF8-66
95	0	60	394	This study	-37	Sedimentary	Sediment Layer	1107.95	Sandstone	SO-CMD-NORTH	MF8-67	MF8-67
73.4	0	60	394	This study	-29	Sedimentary	Sediment Layer	1115.35	Sandstone	SO-CMD-NORTH	MF8-68	MF8-68
10.1	0	60	394	This study	-49	Sedimentary	Sediment Layer	971.85	Sandstone	SO-CMD-NORTH	MF8-69	MF8-69
0.2	0	60	394	This study	-41	Sedimentary	Sediment Layer	971.93	Sandstone	SO-CMD-NORTH	MF8-70	MF8-70
-19.7	0	60	394	This study	-49	Sedimentary	Sediment Layer	972.13	Sandstone	SO-CMD-NORTH	MF8-71	MF8-71
18.5	0	60	394	This study	-47	Sedimentary	Sediment Layer	972.36	Sandstone	SO-CMD-NORTH	MF8-72	MF8-72
-4.4	0	60	394	This study	-48	Sedimentary	Sediment Layer	972.53	Sandstone	SO-CMD-NORTH	MF8-73	MF8-73
2.1	0	60	394	This study	-52	Sedimentary	Sediment Layer	972.96	Sandstone	SO-CMD-NORTH	MF8-74	MF8-74
23.2	0	60	394	This study	-63	Sedimentary	Sediment Layer	973.06	Sandstone	SO-CMD-NORTH	MF8-75	MF8-75
11.9	0	60	394	This study	-57	Sedimentary	Sediment Layer	973.45	Sandstone	SO-CMD-NORTH	MF8-76	MF8-76
1	0	60	394	This study	-51	Sedimentary	Sediment Layer	973.58	Sandstone	SO-CMD-NORTH	MF8-77	MF8-77
14.8	0	60	394	This study	-56	Sedimentary	Sediment Layer	973.68	Sandstone	SO-CMD-NORTH	MF8-78	MF8-78
56.4	0	69	400	This study	-43	Sedimentary	Sediment Layer	1184	Sandstone	SO-CMD-NORTH	MF9-1	MF9-1
72.8	0	69	400	This study	-38	Sedimentary	Sediment Layer	1186.7	Sandstone	SO-CMD-NORTH	MF9-2	MF9-2
78.3	0	69	400	This study	-44	Sedimentary	Sediment Layer	1192.5	Sandstone	SO-CMD-NORTH	MF9-3	MF9-3
81.7	0	69	400	This study	-53	Sedimentary	Sediment Layer	1196.6	Sandstone	SO-CMD-NORTH	MF9-4	MF9-4
85.5	0	69	400	This study	-32	Sedimentary	Sediment Layer	1198.4	Sandstone	SO-CMD-NORTH	MF9-5	MF9-5
86.2	0	69	400	This study	-36	Sedimentary	Sediment Layer	1200.5	Sandstone	SO-CMD-NORTH	MF9-6	MF9-6
