tab	samples											
azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	dip	geologic_classes	geologic_types	height	lithologies	method_codes	sample	site
48.9	0	67	391	This study	-28	Sedimentary	Sediment Layer	795.8	Sandstone	SO-CMD-NORTH	MF16-55	MF16-55
55.4	0	67	391	This study	-34	Sedimentary	Sediment Layer	795.93	Sandstone	SO-CMD-NORTH	MF16-56	MF16-56
60.1	0	67	391	This study	-45	Sedimentary	Sediment Layer	796.17	Sandstone	SO-CMD-NORTH	MF16-57	MF16-57
54.6	0	67	391	This study	-22	Sedimentary	Sediment Layer	796.25	Sandstone	SO-CMD-NORTH	MF16-58	MF16-58
64.1	0	67	391	This study	-33	Sedimentary	Sediment Layer	796.32	Sandstone	SO-CMD-NORTH	MF16-59	MF16-59
66.6	0	67	391	This study	-34	Sedimentary	Sediment Layer	796.36	Sandstone	SO-CMD-NORTH	MF16-60	MF16-60
77.9	0	67	391	This study	-24	Sedimentary	Sediment Layer	796.36	Sandstone	SO-CMD-NORTH	MF16-61	MF16-61
74.4	0	67	391	This study	-30	Sedimentary	Sediment Layer	796.36	Sandstone	SO-CMD-NORTH	MF16-62	MF16-62
66.1	0	67	391	This study	-34	Sedimentary	Sediment Layer	796.42	Sandstone	SO-CMD-NORTH	MF16-63	MF16-63
71.7	0	67	391	This study	-33	Sedimentary	Sediment Layer	796.6	Sandstone	SO-CMD-NORTH	MF16-64	MF16-64
71.2	0	67	391	This study	-34	Sedimentary	Sediment Layer	796.66	Sandstone	SO-CMD-NORTH	MF16-65	MF16-65
76.5	0	67	391	This study	-33	Sedimentary	Sediment Layer	796.74	Sandstone	SO-CMD-NORTH	MF16-66	MF16-66
76.1	0	67	391	This study	-22	Sedimentary	Sediment Layer	803.54	Sandstone	SO-CMD-NORTH	MF16-67	MF16-67
63.1	0	67	391	This study	-21	Sedimentary	Sediment Layer	803.74	Sandstone	SO-CMD-NORTH	MF16-68	MF16-68
41.1	0	67	391	This study	-25	Sedimentary	Sediment Layer	803.89	Sandstone	SO-CMD-NORTH	MF16-69	MF16-69
75.1	0	67	391	This study	-32	Sedimentary	Sediment Layer	804.02	Sandstone	SO-CMD-NORTH	MF16-70	MF16-70
47.1	0	67	391	This study	-33	Sedimentary	Sediment Layer	804.26	Sandstone	SO-CMD-NORTH	MF16-71	MF16-71
64.1	0	67	391	This study	-25	Sedimentary	Sediment Layer	804.32	Sandstone	SO-CMD-NORTH	MF16-72	MF16-72
54.1	0	67	391	This study	-28	Sedimentary	Sediment Layer	804.49	Sandstone	SO-CMD-NORTH	MF16-73	MF16-73
