tab	specimens					
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-37	MF8-37a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-38	MF8-38a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-39	MF8-39a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-40	MF8-40a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-41	MF8-41a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-42	MF8-42a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-43	MF8-43a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-44	MF8-44a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-45	MF8-45a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-46	MF8-46a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-47	MF8-47a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-48	MF8-48a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-49	MF8-49a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-50	MF8-50a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-51	MF8-51a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-52	MF8-52a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-53	MF8-53a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-54	MF8-54a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-55	MF8-55a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-56	MF8-56a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-57	MF8-57a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-58	MF8-58a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-59	MF8-59a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-60	MF8-60a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-61	MF8-61a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-62	MF8-62a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-63	MF8-63a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-64	MF8-64a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-65	MF8-65a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-66	MF8-66a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-67	MF8-67a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-68	MF8-68a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-69	MF8-69a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-70	MF8-70a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-71	MF8-71a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-72	MF8-72a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-73	MF8-73a
