source,hornblende,oxy-hornblende,enstatite,hypersthene,augite,"epidote, clinozoisite",tremolite-actinolite,glaucophane,lawsonite,pumpellyite,sphene,zircon,garnet,rutile,apatite,tourmaline,andalusite,glauconite,carbonate,cummingtonite,height (ft),sample
SF Bay,42,0,0,20,19,9,7,0,2,0,0,0,1,0,0,0,0,0,0,0,NA,670-SFB-535
SF Bay,43,1,0,23,17,7,4,0,1,1,1,0,0,0,1,0,0,1,0,0,NA,670-SFB-114
SF Bay,40,0,1,25,20,3,7,0,1,0,0,0,2,0,1,0,0,0,0,0,NA,670-SFB-117
SF Bay,45,1,0,16,15,8,6,0,1,0,5,2,1,0,0,0,0,0,0,0,NA,670-SFB-160
SF Bay,44,3,0,20,13,7,9,0,0,0,3,1,0,0,0,0,0,0,0,0,NA,670-SFB-194
SF Bay,40,2,0,26,17,8,4,0,0,0,2,0,1,0,0,0,0,0,0,0,NA,670-SFB-200
SF Bay,37,1,0,28,19,7,1,0,1,0,3,2,0,0,0,0,0,1,0,0,NA,670-SFB-151
SF Bay,50,3,0,12,13,7,7,0,1,1,3,2,0,0,0,0,0,1,0,0,NA,670-SFB-324
SF Bay,42,2,0,21,16,5,6,0,2,0,3,0,2,0,0,0,0,1,0,0,NA,670-SFB-496
SF Bay,41,1,0,22,16,9,4,1,1,0,4,0,1,0,0,0,0,0,0,0,NA,670-SFB-464
SF Bay,46,4,0,21,13,9,3,0,2,0,1,0,0,0,0,0,0,1,0,0,NA,670-SFB-460
SF Bay,43,3,0,11,13,12,10,0,2,2,1,0,0,0,2,0,0,1,0,0,NA,670-SFB-369
SF Bay,50,3,0,4,12,12,11,0,1,3,1,0,0,0,3,0,0,0,0,0,NA,670-SFB-339
SF Bay,40,3,1,13,15,11,9,1,2,1,2,1,0,0,0,0,0,1,0,0,NA,670-SFB-342
SF Bay,26,4,0,14,12,11,3,2,4,1,13,7,1,0,0,0,0,0,2,0,NA,670-SFB-186
SF Bay,33,1,0,8,16,13,4,6,6,3,2,4,3,0,1,0,0,0,0,0,NA,670-SFB-300
SF Bay,7,1,0,2,13,16,11,8,5,1,3,2,3,0,2,0,0,0,26,0,NA,670-SFB-313
Sonoma Volcanics,5,0,0,72,16,0,0,1,0,0,0,1,1,1,0,1,0,0,2,0,NA,670-SV-22
Sonoma Volcanics,2,1,0,53,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,670-SV-20
Sonoma Volcanics,4,0,0,70,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,670-SV-19
Sonoma Volcanics,11,0,1,54,31,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,NA,670-SV-17
Sonoma Volcanics,8,0,4,44,22,0,11,4,0,0,1,2,2,0,1,1,0,0,0,0,NA,670-SV-16
Sonoma Volcanics,10,0,6,45,21,1,12,2,0,2,0,1,0,0,0,0,0,0,0,0,NA,670-SV-14
Sonoma Volcanics,13,0,4,38,19,2,12,7,0,1,1,0,2,0,0,0,0,0,1,0,NA,670-SV-12
Sonoma Volcanics,7,1,3,40,30,0,8,7,0,0,0,0,2,0,0,1,0,0,1,0,NA,670-SV-24
