"source","hornblende","oxy.hornblende","enstatite","hypersthene","augite","epidote..clinozoisite","tremolite.actinolite","glaucophane","lawsonite","pumpellyite","sphene","zircon","garnet","rutile","apatite","tourmaline","andalusite","glauconite","carbonate","cummingtonite","height..ft.","sample","strat.pos","pc1","pc2","X","Y","X.1"
"Merced, lower",50,2,0,0,0,20,2,2,6,3,3,1,6,0,3,1,0,1,0,0,2790,"670-48",850.392,8.18946494295201,3.18592492891152,NA,NA,NA
"Merced, lower",39,1,1,0,1,20,3,9,3,5,7,1,5,0,0,1,0,4,0,0,2760,"670-39",841.248,7.80922836739669,-0.470868656434073,NA,NA,NA
"Merced, lower",44,1,2,0,1,18,2,2,6,1,7,1,3,0,3,3,0,1,5,0,2470,"670-41",752.856,6.86886835321745,2.88650403056547,NA,NA,NA
"Merced, lower",18,0,2,0,1,18,10,22,10,14,1,0,0,0,0,0,0,0,4,0,2320,"670-118",707.136,7.34141368971723,-2.49484798283172,NA,NA,NA
"Merced, lower",15,1,3,0,10,21,6,8,0,6,11,5,13,1,0,0,0,0,0,0,1980,"670-117",603.504,5.74071459081737,2.48813407238197,NA,NA,NA
"Merced, lower",16,2,1,0,5,28,3,5,6,7,7,4,9,1,2,0,0,4,0,0,1710,"670-24",521.208,8.41253270146643,-0.621356855946222,NA,NA,NA
"Merced, lower",38,2,1,1,4,20,6,6,1,4,9,2,6,0,0,0,0,0,0,0,1560,"670-113",475.488,3.81568219568665,-0.31576077385547,NA,NA,NA
"Merced, lower",59,1,0,0,0,20,7,6,3,0,3,0,0,0,1,0,0,0,0,0,1505,"670-114",458.724,4.95703115354406,0.57570517498683,NA,NA,NA
"Merced, lower",43,0,0,0,4,19,11,9,0,4,4,1,2,0,1,1,1,0,0,0,1030,"670-119",313.944,4.99057308440379,5.62184588267637,NA,NA,NA
"Merced, lower",32,0,1,0,1,27,6,7,5,4,13,1,1,0,0,0,0,2,0,0,580,"670-27",176.784,8.71683943804453,-1.31860679952198,NA,NA,NA
"Merced, lower",29,0,1,0,3,23,5,14,6,4,5,3,4,0,2,1,0,0,0,0,210,"670-26",64.008,8.78176083149293,1.79584250379772,NA,NA,NA
"SF Bay",48,2,1,14,18,4,9,0,2,0,1,0,0,0,0,0,0,0,0,0,NA,"670-SFB-587",NA,-4.35459045434481,-4.66391448575429,-122.087057393036,38.0571365366319,NA
"SF Bay",49,3,0,18,15,5,8,1,0,1,0,0,0,0,0,0,0,0,0,0,NA,"670-SFB-583",NA,-3.73948433285462,-3.10521808287437,-122.133617429355,38.0383560177806,NA
"SF Bay",48,1,0,18,20,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"670-SFB-565",NA,-7.01276270264486,-1.92664595474231,-122.179391248627,38.0554876201443,NA
"SF Bay",40,1,0,20,19,13,4,1,1,0,1,0,0,0,0,0,0,0,0,0,NA,"670-SFB-555",NA,-3.49518349953928,-3.23608501356556,-122.289009381058,38.0562087920681,NA
"SF Bay",32,3,1,26,18,11,7,0,0,1,0,0,0,0,1,0,0,0,0,0,NA,"670-SFB-553",NA,-4.49472129339665,-3.69130721139875,-122.294297975167,38.0624589487418,NA
"SF Bay",37,5,0,23,17,7,8,0,2,0,1,0,0,0,0,0,0,0,0,0,NA,"670-SFB-554",NA,-5.5357898717418,-3.32238948000974,-122.307038679156,38.0578915265572,NA
"SF Bay",50,0,0,21,18,5,4,0,0,0,0,1,0,0,1,0,0,0,0,0,NA,"670-SFB-596",NA,-4.96332683803088,0.977747074983962,-122.337524625894,38.0496487568334,NA
"SF Bay",37,1,1,21,19,12,5,0,0,0,1,2,1,0,0,0,0,0,0,0,NA,"670-SFB-599",NA,-4.52396908112421,1.0992163100033,-122.349243669657,38.0382302013718,NA
"SF Bay",46,1,0,19,16,8,6,1,3,0,0,0,0,0,0,0,0,0,0,0,NA,"670-SFB-540",NA,-3.59276224169732,-4.60284912635409,-122.40543498206,38.0033735583838,NA
"SF Bay",42,0,0,20,19,9,7,0,2,0,0,0,1,0,0,0,0,0,0,0,NA,"670-SFB-535",NA,-4.31689469632466,-2.32956760719489,-122.434882835619,37.9730242399202,NA
"SF Bay",43,1,0,23,17,7,4,0,1,1,1,0,0,0,1,0,0,1,0,0,NA,"670-SFB-114",NA,-2.83542495469479,-4.10994891199603,-122.450132616926,37.9310309997687,NA
"SF Bay",40,0,1,25,20,3,7,0,1,0,0,0,2,0,1,0,0,0,0,0,NA,"670-SFB-117",NA,-3.12752737400126,-2.79284208575812,-122.442620409386,37.9099968186553,NA
"SF Bay",45,1,0,16,15,8,6,0,1,0,5,2,1,0,0,0,0,0,0,0,NA,"670-SFB-160",NA,-3.70984537827455,1.13957744084776,-122.381020307553,37.8517020881409,NA
"SF Bay",44,3,0,20,13,7,9,0,0,0,3,1,0,0,0,0,0,0,0,0,NA,"670-SFB-194",NA,-5.91789401887346,1.10162496143995,-122.427295506003,37.8492981817279,NA
"SF Bay",40,2,0,26,17,8,4,0,0,0,2,0,1,0,0,0,0,0,0,0,NA,"670-SFB-200",NA,-6.19463955338058,0.488311696611558,-122.457344336165,37.8574113658717,NA
"SF Bay",37,1,0,28,19,7,1,0,1,0,3,2,0,0,0,0,0,1,0,0,NA,"670-SFB-151",NA,-4.15054965387062,-1.5853854118201,-122.431802830527,37.8267615591064,NA
"SF Bay",50,3,0,12,13,7,7,0,1,1,3,2,0,0,0,0,0,1,0,0,NA,"670-SFB-324",NA,-2.33967983869867,-2.25086352722028,-122.459447754276,37.8303674187258,NA
