X,Y,Sample,
-121.573660025424,37.886979857019,670-GV-35
-121.203135342476,37.6302908241453,670-GV-1
-121.203135342476,37.6302908241453,670-GV-2
-119.728887538089,36.9777961765162,670-GV-18
-120.063415530127,37.1679489298855,670-GV-36
-120.957177487804,37.3538650623029,670-GV-37
-120.758221366223,37.6302908241453,670-GV-3
-120.758221366223,37.6302908241453,670-GV-4
-120.854178079729,37.7737857259934,670-GV-5
-120.854178079729,37.7737857259934,670-GV-6
-121.036407801708,38.0528524982992,670-GV-7
-121.036407801708,38.0528524982992,670-GV-8
-121.090108347798,38.2051507683588,670-GV-9
-121.090108347798,38.2051507683588,670-GV-10
-120.957177487804,38.5220720239742,670-GV-11
-120.909815366826,38.8007866615516,670-GV-14
-120.909815366826,38.8007866615516,670-GV-15
-121.045739372012,38.9000886549777,670-GV-12
-121.045739372012,38.9000886549777,670-GV-13
-121.407029603413,38.9965735705762,670-GV-19
-121.407029603413,38.9965735705762,670-GV-20
-121.342941082833,39.2177141800501,670-GV-22
-121.629842852847,39.3620371487206,670-GV-24
-121.629842852847,39.3620371487206,670-GV-25
-121.989680528494,39.4599746200739,670-GV-26
-121.989680528494,39.4599746200739,670-GV-27
-121.990780949521,39.2046769419393,670-GV-28
-121.990780949521,39.2046769419393,670-GV-29
-122.195459260439,38.8371363191075,670-GV-30
-122.039199474684,38.492704537831,670-GV-16
-122.039199474684,38.492704537831,670-GV-17
-121.581891433484,38.3223109329499,670-GV-32
-121.613583559046,38.1644371963563,670-GV-33
-121.684597395952,38.1485911335755,670-GV-34
