,site_info,,,,,,,,,,,,,,,,,,,,,
15a,sun compass orientation,118.2,222,50.0,301.0,67.0,no,178.0,-8.0,2023.0,11.0,8.0,15.0,40.0,1.0,nan,233.4,[13.090209484181017; 61.09252554463864; 47607.05927551359],13.090209484181017,11.400000000000006,233.4,nan
16a,sun compass orientation,129.5,172,28.0,301.0,67.0,no,129.0,-8.0,2023.0,11.0,8.0,15.0,42.0,1.0,nan,184.7,[13.090209194268574; 61.092525545419846; 47607.05892087038],13.090209194268574,12.699999999999989,184.7,nan
17a,sun compass orientation,145.2,173,62.0,301.0,67.0,no,130.0,-8.0,2023.0,11.0,8.0,15.0,45.0,1.0,nan,186.3,[13.09020875939988; 61.09252554659168; 47607.05838890558],13.09020875939988,13.300000000000011,186.3,nan
18a,sun compass orientation,152.9,157,51.0,301.0,67.0,no,113.0,-8.0,2023.0,11.0,8.0,15.0,48.0,1.0,nan,169.8,[13.090208324531181; 61.09252554776352; 47607.057856940824],13.090208324531181,12.800000000000011,169.8,nan
19a,sun compass orientation,162,116,33.0,301.0,67.0,no,432.0,-8.0,2023.0,11.0,8.0,15.0,50.0,1.0,nan,129.1,[13.090208034618696; 61.092525548544735; 47607.057502297626],13.090208034618696,13.099999999999994,129.1,nan
20a,sun compass orientation,174.2,200,24.0,301.0,67.0,no,154.0,-8.0,2023.0,11.0,8.0,15.0,53.0,1.0,nan,211.7,[13.09020759974998; 61.09252554971656; 47607.05697033284],13.09020759974998,11.699999999999989,211.7,nan
21a,sun compass orientation,0,166,40.0,301.0,67.0,no,147.0,-8.0,2024.0,3.0,8.0,13.0,45.0,1.0,nan,176.9,[13.064991135930795; 61.0925911509763; 47576.23137249928],13.064991135930795,10.900000000000006,176.9,nan
22a,sun compass orientation,0,169,38.0,301.0,67.0,no,150.0,-8.0,2024.0,3.0,8.0,13.0,48.0,1.0,nan,180.8,[13.064990701686265; 61.09259115206557; 47576.23084202505],13.064990701686265,11.800000000000011,180.8,nan
23a,sun compass orientation,0,133,48.0,301.0,67.0,no,113.0,-8.0,2024.0,3.0,8.0,13.0,51.0,1.0,nan,144.7,[13.064990267441718; 61.09259115315481; 47576.23031155078],13.064990267441718,11.699999999999989,144.7,nan
24a,sun compass orientation,0,140,54.0,301.0,67.0,no,119.0,-8.0,2024.0,3.0,8.0,13.0,53.0,1.0,nan,151.4,[13.06498997794536; 61.09259115388097; 47576.22995790127],13.06498997794536,11.400000000000006,151.4,nan
25a,sun compass orientation,0,161,37.0,301.0,67.0,no,139.0,-8.0,2024.0,3.0,8.0,13.0,56.0,1.0,nan,172.3,[13.064989543700795; 61.09259115497023; 47576.229427427024],13.064989543700795,11.300000000000011,172.3,nan
26a,sun compass orientation,0,157,37.0,301.0,67.0,no,134.0,-8.0,2024.0,3.0,8.0,13.0,58.0,1.0,nan,167.9,[13.064989254204432; 61.09259115569642; 47576.229073777526],13.064989254204432,10.900000000000006,167.9,nan
27a,sun compass orientation,0,195,44.0,301.0,67.0,no,167.0,-8.0,2024.0,3.0,8.0,14.0,16.0,1.0,nan,206.2,[13.064986648736856; 61.092591162231905; 47576.22589093205],13.064986648736856,11.199999999999989,206.2,nan
28a,sun compass orientation,0,159,36.0,301.0,67.0,no,130.0,-8.0,2024.0,3.0,8.0,14.0,20.0,1.0,nan,170.3,[13.064986069744025; 61.09259116368424; 47576.22518363303],13.064986069744025,11.300000000000011,170.3,nan
29a,sun compass orientation,0,194,56.0,301.0,67.0,no,164.0,-8.0,2024.0,3.0,8.0,14.0,23.0,1.0,nan,205.1,[13.064985635499365; 61.092591164773474; 47576.2246531588],13.064985635499365,11.099999999999994,205.1,nan
30a,sun compass orientation,0,202,50.0,301.0,67.0,no,171.0,-8.0,2024.0,3.0,8.0,14.0,26.0,1.0,nan,212.9,[13.064985201254705; 61.092591165862714; 47576.22412268456],13.064985201254705,10.900000000000006,212.9,nan
31a,sun compass orientation,0,210,42.0,301.0,67.0,no,179.0,-8.0,2024.0,3.0,8.0,14.0,29.0,1.0,nan,221.7,[13.064984767010069; 61.09259116695194; 47576.22359221031],13.064984767010069,11.699999999999989,221.7,nan
32a,sun compass orientation,0,166,53.0,301.0,67.0,no,134.0,-8.0,2024.0,3.0,8.0,14.0,33.0,1.0,nan,177.8,[13.06498418801716; 61.092591168404255; 47576.22288491129],13.06498418801716,11.800000000000011,177.8,nan
33a,sun compass orientation,0,176,52.0,301.0,67.0,no,144.0,-8.0,2024.0,3.0,8.0,14.0,35.0,1.0,nan,188.3,[13.064983898520705; 61.09259116913046; 47576.2225312618],13.064983898520705,12.300000000000011,188.3,nan
34a,sun compass orientation,0,177,55.0,301.0,67.0,no,144.0,-8.0,2024.0,3.0,8.0,14.0,37.0,1.0,nan,188.9,[13.064983609024242; 61.09259116985659; 47576.2221776123],13.064983609024242,11.900000000000006,188.9,nan
35a,sun compass orientation,0,184,52.0,301.0,67.0,no,151.0,-8.0,2024.0,3.0,8.0,14.0,40.0,1.0,nan,196.6,[13.064983174779567; 61.09259117094582; 47576.22164713806],13.064983174779567,12.599999999999994,196.6,nan
36a,sun compass orientation,0,174,60.0,301.0,67.0,no,140.0,-8.0,2024.0,3.0,8.0,14.0,43.0,1.0,nan,186.4,[13.06498274053485; 61.092591172035064; 47576.221116663815],13.06498274053485,12.400000000000006,186.4,nan
37a,sun compass orientation,0,155,46.0,301.0,67.0,no,115.0,-8.0,2024.0,3.0,8.0,15.0,8.0,1.0,nan,167.5,[13.064979121828575; 61.09259118111196; 47576.216696045165],13.064979121828575,12.5,167.5,nan
38a,sun compass orientation,0,154,54.0,301.0,67.0,no,113.0,-8.0,2024.0,3.0,8.0,15.0,13.0,1.0,nan,166.6,[13.064978398087227; 61.09259118292728; 47576.2158119214],13.064978398087227,12.599999999999994,166.6,nan
39a,sun compass orientation,0,152,51.0,301.0,67.0,no,111.0,-8.0,2024.0,3.0,8.0,15.0,17.0,1.0,nan,165.5,[13.06497781909417; 61.092591184379614; 47576.21510462245],13.06497781909417,13.5,165.5,nan
40a,sun compass orientation,0,153,45.0,301.0,67.0,no,108.0,-8.0,2024.0,3.0,8.0,15.0,21.0,1.0,nan,163.4,[13.064977240101047; 61.0925911858319; 47576.21439732346],13.064977240101047,10.400000000000006,163.4,nan
41a,sun compass orientation,0,165,60.0,301.0,67.0,no,120.0,-8.0,2024.0,3.0,8.0,15.0,25.0,1.0,nan,176.3,[13.064976661107915; 61.09259118728417; 47576.21369002449],13.064976661107915,11.300000000000011,176.3,nan
42a,sun compass orientation,0,158,31.0,301.0,67.0,no,112.0,-8.0,2024.0,3.0,8.0,15.0,29.0,1.0,nan,169.1,[13.064976082114804; 61.09259118873646; 47576.21298272551],13.064976082114804,11.099999999999994,169.1,nan
43a,sun compass orientation,0,124,25.0,301.0,67.0,no,439.0,-8.0,2024.0,3.0,8.0,15.0,32.0,1.0,nan,136.8,[13.064975647869922; 61.09259118982569; 47576.21245225127],13.064975647869922,12.800000000000011,136.8,nan
44a,sun compass orientation,0,134,23.0,301.0,67.0,no,448.0,-8.0,2024.0,3.0,8.0,15.0,35.0,1.0,nan,146.4,[13.06497521362503; 61.092591190914874; 47576.21192177706],13.06497521362503,12.400000000000006,146.4,nan
45a,sun compass orientation,0,218,35.0,301.0,67.0,no,168.0,-8.0,2024.0,3.0,8.0,15.0,52.0,1.0,nan,229.9,[13.064972752903891; 61.092591197087046; 47576.20891575641],13.064972752903891,11.900000000000006,229.9,nan
46a,sun compass orientation,0,177,37.0,301.0,67.0,no,126.0,-8.0,2024.0,3.0,8.0,15.0,55.0,1.0,nan,188.4,[13.064972318658953; 61.092591198176244; 47576.20838528221],13.064972318658953,11.400000000000006,188.4,nan
47a,sun compass orientation,0,186,24.0,301.0,67.0,no,134.0,-8.0,2024.0,3.0,8.0,15.0,58.0,1.0,nan,197.0,[13.064971884414007; 61.092591199265435; 47576.20785480795],13.064971884414007,11.0,197.0,nan
48a,sun compass orientation,0,127,33.0,301.0,67.0,no,435.0,-8.0,2024.0,3.0,8.0,16.0,0.0,1.0,nan,138.4,[13.064971594917381; 61.09259119999157; 47576.207501158446],13.064971594917381,11.400000000000006,138.4,nan
49a,sun compass orientation,0,148,23.0,301.0,67.0,no,95.0,-8.0,2024.0,3.0,8.0,16.0,4.0,1.0,nan,159.2,[13.06497101592407; 61.092591201443845; 47576.20679385951],13.06497101592407,11.199999999999989,159.2,nan
50a,sun compass orientation,0,157,24.0,301.0,67.0,no,103.0,-8.0,2024.0,3.0,8.0,16.0,7.0,1.0,nan,167.8,[13.064970581679109; 61.09259120253306; 47576.20626338528],13.064970581679109,10.800000000000011,167.8,nan
51a,sun compass orientation,0,126,23.0,301.0,67.0,no,433.0,-8.0,2024.0,3.0,8.0,16.0,9.0,1.0,nan,138.1,[13.064970292182435; 61.09259120325914; 47576.20590973578],13.064970292182435,12.099999999999994,138.1,nan
52a,sun compass orientation,0,160,32.0,301.0,67.0,no,107.0,-8.0,2024.0,3.0,8.0,16.0,13.0,1.0,nan,172.9,[13.064969713189113; 61.09259120471142; 47576.20520243684],13.064969713189113,12.900000000000006,172.9,nan
53a,sun compass orientation,0,166,35.0,301.0,67.0,no,110.0,-8.0,2024.0,3.0,8.0,16.0,17.0,1.0,nan,176.6,[13.064969134195753; 61.092591206163675; 47576.204495137885],13.064969134195753,10.599999999999994,176.6,nan
54a,sun compass orientation,0,159,36.0,301.0,67.0,no,104.0,-8.0,2024.0,3.0,8.0,16.0,20.0,1.0,nan,171.2,[13.064968699950752; 61.092591207252866; 47576.20396466365],13.064968699950752,12.199999999999989,171.2,nan
55a,sun compass orientation,0,127,28.0,301.0,67.0,no,428.0,-8.0,2024.0,3.0,8.0,16.0,41.0,1.0,nan,138.9,[13.064965660235307; 61.092591214877125; 47576.20025134411],13.064965660235307,11.900000000000006,138.9,nan
56a,sun compass orientation,0,134,34.0,301.0,67.0,no,434.0,-8.0,2024.0,3.0,8.0,16.0,44.0,1.0,nan,145.4,[13.064965225990232; 61.09259121596631; 47576.19972086989],13.064965225990232,11.400000000000006,145.4,nan
57a,sun compass orientation,0,137,45.0,301.0,67.0,no,438.0,-8.0,2024.0,3.0,8.0,16.0,48.0,1.0,nan,150.1,[13.064964646996751; 61.09259121741854; 47576.1990135709],13.064964646996751,13.099999999999994,150.1,nan
58a,sun compass orientation,0,133,22.0,301.0,67.0,no,432.0,-8.0,2024.0,3.0,8.0,16.0,51.0,1.0,nan,144.6,[13.06496421275162; 61.09259121850773; 47576.19848309669],13.06496421275162,11.599999999999994,144.6,nan
59a,sun compass orientation,0,141,33.0,301.0,67.0,no,441.0,-8.0,2024.0,3.0,8.0,16.0,54.0,1.0,nan,154.1,[13.064963778506476; 61.09259121959689; 47576.197952622504],13.064963778506476,13.099999999999994,154.1,nan
60a,sun compass orientation,0,144,34.0,301.0,67.0,no,443.0,-8.0,2024.0,3.0,8.0,16.0,57.0,1.0,nan,156.6,[13.06496334426135; 61.09259122068609; 47576.1974221483],13.06496334426135,12.599999999999994,156.6,nan
61a,sun compass orientation,0,156,24.0,301.0,67.0,no,94.0,-8.0,2024.0,3.0,8.0,16.0,59.0,1.0,nan,167.9,[13.064963054764588; 61.092591221412185; 47576.19706849882],13.064963054764588,11.900000000000006,167.9,nan
62a,sun compass orientation,0,153,30.0,301.0,67.0,no,90.0,-8.0,2024.0,3.0,8.0,17.0,2.0,1.0,nan,164.4,[13.06496262051943; 61.09259122250137; 47576.196538024604],13.06496262051943,11.400000000000006,164.4,nan
63a,sun compass orientation,0,143,34.0,301.0,67.0,no,441.0,-8.0,2024.0,3.0,8.0,17.0,6.0,1.0,nan,156.1,[13.064962041525856; 61.0925912239536; 47576.19583072565],13.064962041525856,13.099999999999994,156.1,nan
64a,sun compass orientation,0,149,33.0,301.0,67.0,no,446.0,-8.0,2024.0,3.0,8.0,17.0,10.0,1.0,nan,161.7,[13.06496146253229; 61.09259122540579; 47576.195123426696],13.06496146253229,12.699999999999989,161.7,nan
65a,sun compass orientation,0,149,34.0,301.0,67.0,no,445.0,-8.0,2024.0,3.0,8.0,17.0,13.0,1.0,nan,161.2,[13.064961028287101; 61.09259122649499; 47576.1945929525],13.064961028287101,12.199999999999989,161.2,nan
66a,sun compass orientation,0,154,33.0,301.0,67.0,no,90.0,-8.0,2024.0,3.0,8.0,17.0,15.0,1.0,nan,166.5,[13.064960738790296; 61.092591227221085; 47576.19423930302],13.064960738790296,12.5,166.5,nan
67a,mag compass orientation (IGRF corrected),0,153,22.0,301.0,67.0,no,nan,-8.0,2024.0,3.0,8.0,1.0,1.0,1.0,nan,nan,[13.065101723221304; 61.09259087353399; 47576.366466630236],13.065101723221304,insufficient data,166.1,nan
68a,mag compass orientation (IGRF corrected),0,140,21.0,301.0,67.0,no,nan,-8.0,2024.0,3.0,8.0,1.0,1.0,1.0,nan,nan,[13.065101723221304; 61.09259087353399; 47576.366466630236],13.065101723221304,insufficient data,153.1,nan
69a,mag compass orientation (IGRF corrected),0,118,25.0,301.0,67.0,no,nan,-8.0,2024.0,3.0,8.0,1.0,1.0,1.0,nan,nan,[13.065101723221304; 61.09259087353399; 47576.366466630236],13.065101723221304,insufficient data,131.1,nan
70a,mag compass orientation (IGRF corrected),0,152,32.0,301.0,67.0,no,nan,-8.0,2024.0,3.0,8.0,1.0,1.0,1.0,nan,nan,[13.065101723221304; 61.09259087353399; 47576.366466630236],13.065101723221304,insufficient data,165.1,nan
71a,mag compass orientation (IGRF corrected),0,124,33.0,301.0,67.0,no,nan,-8.0,2024.0,3.0,8.0,1.0,1.0,1.0,nan,nan,[13.065101723221304; 61.09259087353399; 47576.366466630236],13.065101723221304,insufficient data,137.1,nan
72a,mag compass orientation (IGRF corrected),0,141,25.0,301.0,67.0,no,nan,-8.0,2024.0,3.0,8.0,1.0,1.0,1.0,nan,nan,[13.065101723221304; 61.09259087353399; 47576.366466630236],13.065101723221304,insufficient data,154.1,nan
73a,mag compass orientation (IGRF corrected),0,131,28.0,301.0,67.0,no,nan,-8.0,2024.0,3.0,8.0,1.0,1.0,1.0,nan,nan,[13.065101723221304; 61.09259087353399; 47576.366466630236],13.065101723221304,insufficient data,144.1,nan
21b,sun compass orientation,0,166,40.0,301.0,67.0,no,147.0,-8.0,2024.0,3.0,8.0,13.0,45.0,1.0,nan,176.9,[13.064991135930795; 61.0925911509763; 47576.23137249928],13.064991135930795,10.900000000000006,176.9,nan
22b,sun compass orientation,0,169,38.0,301.0,67.0,no,150.0,-8.0,2024.0,3.0,8.0,13.0,48.0,1.0,nan,180.8,[13.064990701686265; 61.09259115206557; 47576.23084202505],13.064990701686265,11.800000000000011,180.8,nan
23b,sun compass orientation,0,133,48.0,301.0,67.0,no,113.0,-8.0,2024.0,3.0,8.0,13.0,51.0,1.0,nan,144.7,[13.064990267441718; 61.09259115315481; 47576.23031155078],13.064990267441718,11.699999999999989,144.7,nan
24b,sun compass orientation,0,140,54.0,301.0,67.0,no,119.0,-8.0,2024.0,3.0,8.0,13.0,53.0,1.0,nan,151.4,[13.06498997794536; 61.09259115388097; 47576.22995790127],13.06498997794536,11.400000000000006,151.4,nan
25b,sun compass orientation,0,161,37.0,301.0,67.0,no,139.0,-8.0,2024.0,3.0,8.0,13.0,56.0,1.0,nan,172.3,[13.064989543700795; 61.09259115497023; 47576.229427427024],13.064989543700795,11.300000000000011,172.3,nan
26b,sun compass orientation,0,157,37.0,301.0,67.0,no,134.0,-8.0,2024.0,3.0,8.0,13.0,58.0,1.0,nan,167.9,[13.064989254204432; 61.09259115569642; 47576.229073777526],13.064989254204432,10.900000000000006,167.9,nan
27b,sun compass orientation,0,195,44.0,301.0,67.0,no,167.0,-8.0,2024.0,3.0,8.0,14.0,16.0,1.0,nan,206.2,[13.064986648736856; 61.092591162231905; 47576.22589093205],13.064986648736856,11.199999999999989,206.2,nan
28b,sun compass orientation,0,159,36.0,301.0,67.0,no,130.0,-8.0,2024.0,3.0,8.0,14.0,20.0,1.0,nan,170.3,[13.064986069744025; 61.09259116368424; 47576.22518363303],13.064986069744025,11.300000000000011,170.3,nan
29b,sun compass orientation,0,194,56.0,301.0,67.0,no,164.0,-8.0,2024.0,3.0,8.0,14.0,23.0,1.0,nan,205.1,[13.064985635499365; 61.092591164773474; 47576.2246531588],13.064985635499365,11.099999999999994,205.1,nan
30b,sun compass orientation,0,202,50.0,301.0,67.0,no,171.0,-8.0,2024.0,3.0,8.0,14.0,26.0,1.0,nan,212.9,[13.064985201254705; 61.092591165862714; 47576.22412268456],13.064985201254705,10.900000000000006,212.9,nan
31b,sun compass orientation,0,210,42.0,301.0,67.0,no,179.0,-8.0,2024.0,3.0,8.0,14.0,29.0,1.0,nan,221.7,[13.064984767010069; 61.09259116695194; 47576.22359221031],13.064984767010069,11.699999999999989,221.7,nan
32b,sun compass orientation,0,166,53.0,301.0,67.0,no,134.0,-8.0,2024.0,3.0,8.0,14.0,33.0,1.0,nan,177.8,[13.06498418801716; 61.092591168404255; 47576.22288491129],13.06498418801716,11.800000000000011,177.8,nan
33b,sun compass orientation,0,176,52.0,301.0,67.0,no,144.0,-8.0,2024.0,3.0,8.0,14.0,35.0,1.0,nan,188.3,[13.064983898520705; 61.09259116913046; 47576.2225312618],13.064983898520705,12.300000000000011,188.3,nan
34b,sun compass orientation,0,177,55.0,301.0,67.0,no,144.0,-8.0,2024.0,3.0,8.0,14.0,37.0,1.0,nan,188.9,[13.064983609024242; 61.09259116985659; 47576.2221776123],13.064983609024242,11.900000000000006,188.9,nan
35b,sun compass orientation,0,184,52.0,301.0,67.0,no,151.0,-8.0,2024.0,3.0,8.0,14.0,40.0,1.0,nan,196.6,[13.064983174779567; 61.09259117094582; 47576.22164713806],13.064983174779567,12.599999999999994,196.6,nan
36b,sun compass orientation,0,174,60.0,301.0,67.0,no,140.0,-8.0,2024.0,3.0,8.0,14.0,43.0,1.0,nan,186.4,[13.06498274053485; 61.092591172035064; 47576.221116663815],13.06498274053485,12.400000000000006,186.4,nan
37b,sun compass orientation,0,155,46.0,301.0,67.0,no,115.0,-8.0,2024.0,3.0,8.0,15.0,8.0,1.0,nan,167.5,[13.064979121828575; 61.09259118111196; 47576.216696045165],13.064979121828575,12.5,167.5,nan
38b,sun compass orientation,0,154,54.0,301.0,67.0,no,113.0,-8.0,2024.0,3.0,8.0,15.0,13.0,1.0,nan,166.6,[13.064978398087227; 61.09259118292728; 47576.2158119214],13.064978398087227,12.599999999999994,166.6,nan
39b,sun compass orientation,0,152,51.0,301.0,67.0,no,111.0,-8.0,2024.0,3.0,8.0,15.0,17.0,1.0,nan,165.5,[13.06497781909417; 61.092591184379614; 47576.21510462245],13.06497781909417,13.5,165.5,nan
40b,sun compass orientation,0,153,45.0,301.0,67.0,no,108.0,-8.0,2024.0,3.0,8.0,15.0,21.0,1.0,nan,163.4,[13.064977240101047; 61.0925911858319; 47576.21439732346],13.064977240101047,10.400000000000006,163.4,nan
41b,sun compass orientation,0,165,60.0,301.0,67.0,no,120.0,-8.0,2024.0,3.0,8.0,15.0,25.0,1.0,nan,176.3,[13.064976661107915; 61.09259118728417; 47576.21369002449],13.064976661107915,11.300000000000011,176.3,nan
42b,sun compass orientation,0,158,31.0,301.0,67.0,no,112.0,-8.0,2024.0,3.0,8.0,15.0,29.0,1.0,nan,169.1,[13.064976082114804; 61.09259118873646; 47576.21298272551],13.064976082114804,11.099999999999994,169.1,nan
43b,sun compass orientation,0,124,25.0,301.0,67.0,no,439.0,-8.0,2024.0,3.0,8.0,15.0,32.0,1.0,nan,136.8,[13.064975647869922; 61.09259118982569; 47576.21245225127],13.064975647869922,12.800000000000011,136.8,nan
44b,sun compass orientation,0,134,23.0,301.0,67.0,no,448.0,-8.0,2024.0,3.0,8.0,15.0,35.0,1.0,nan,146.4,[13.06497521362503; 61.092591190914874; 47576.21192177706],13.06497521362503,12.400000000000006,146.4,nan
45b,sun compass orientation,0,218,35.0,301.0,67.0,no,168.0,-8.0,2024.0,3.0,8.0,15.0,52.0,1.0,nan,229.9,[13.064972752903891; 61.092591197087046; 47576.20891575641],13.064972752903891,11.900000000000006,229.9,nan
46b,sun compass orientation,0,177,37.0,301.0,67.0,no,126.0,-8.0,2024.0,3.0,8.0,15.0,55.0,1.0,nan,188.4,[13.064972318658953; 61.092591198176244; 47576.20838528221],13.064972318658953,11.400000000000006,188.4,nan
47b,sun compass orientation,0,186,24.0,301.0,67.0,no,134.0,-8.0,2024.0,3.0,8.0,15.0,58.0,1.0,nan,197.0,[13.064971884414007; 61.092591199265435; 47576.20785480795],13.064971884414007,11.0,197.0,nan
48b,sun compass orientation,0,127,33.0,301.0,67.0,no,435.0,-8.0,2024.0,3.0,8.0,16.0,0.0,1.0,nan,138.4,[13.064971594917381; 61.09259119999157; 47576.207501158446],13.064971594917381,11.400000000000006,138.4,nan
49b,sun compass orientation,0,148,23.0,301.0,67.0,no,95.0,-8.0,2024.0,3.0,8.0,16.0,4.0,1.0,nan,159.2,[13.06497101592407; 61.092591201443845; 47576.20679385951],13.06497101592407,11.199999999999989,159.2,nan
50b,sun compass orientation,0,157,24.0,301.0,67.0,no,103.0,-8.0,2024.0,3.0,8.0,16.0,7.0,1.0,nan,167.8,[13.064970581679109; 61.09259120253306; 47576.20626338528],13.064970581679109,10.800000000000011,167.8,nan
51b,sun compass orientation,0,126,23.0,301.0,67.0,no,433.0,-8.0,2024.0,3.0,8.0,16.0,9.0,1.0,nan,138.1,[13.064970292182435; 61.09259120325914; 47576.20590973578],13.064970292182435,12.099999999999994,138.1,nan
52b,sun compass orientation,0,160,32.0,301.0,67.0,no,107.0,-8.0,2024.0,3.0,8.0,16.0,13.0,1.0,nan,172.9,[13.064969713189113; 61.09259120471142; 47576.20520243684],13.064969713189113,12.900000000000006,172.9,nan
53b,sun compass orientation,0,166,35.0,301.0,67.0,no,110.0,-8.0,2024.0,3.0,8.0,16.0,17.0,1.0,nan,176.6,[13.064969134195753; 61.092591206163675; 47576.204495137885],13.064969134195753,10.599999999999994,176.6,nan
54b,sun compass orientation,0,159,36.0,301.0,67.0,no,104.0,-8.0,2024.0,3.0,8.0,16.0,20.0,1.0,nan,171.2,[13.064968699950752; 61.092591207252866; 47576.20396466365],13.064968699950752,12.199999999999989,171.2,nan
55b,sun compass orientation,0,127,28.0,301.0,67.0,no,428.0,-8.0,2024.0,3.0,8.0,16.0,41.0,1.0,nan,138.9,[13.064965660235307; 61.092591214877125; 47576.20025134411],13.064965660235307,11.900000000000006,138.9,nan
56b,sun compass orientation,0,134,34.0,301.0,67.0,no,434.0,-8.0,2024.0,3.0,8.0,16.0,44.0,1.0,nan,145.4,[13.064965225990232; 61.09259121596631; 47576.19972086989],13.064965225990232,11.400000000000006,145.4,nan
57b,sun compass orientation,0,137,45.0,301.0,67.0,no,438.0,-8.0,2024.0,3.0,8.0,16.0,48.0,1.0,nan,150.1,[13.064964646996751; 61.09259121741854; 47576.1990135709],13.064964646996751,13.099999999999994,150.1,nan
58b,sun compass orientation,0,133,22.0,301.0,67.0,no,432.0,-8.0,2024.0,3.0,8.0,16.0,51.0,1.0,nan,144.6,[13.06496421275162; 61.09259121850773; 47576.19848309669],13.06496421275162,11.599999999999994,144.6,nan
59b,sun compass orientation,0,141,33.0,301.0,67.0,no,441.0,-8.0,2024.0,3.0,8.0,16.0,54.0,1.0,nan,154.1,[13.064963778506476; 61.09259121959689; 47576.197952622504],13.064963778506476,13.099999999999994,154.1,nan
60b,sun compass orientation,0,144,34.0,301.0,67.0,no,443.0,-8.0,2024.0,3.0,8.0,16.0,57.0,1.0,nan,156.6,[13.06496334426135; 61.09259122068609; 47576.1974221483],13.06496334426135,12.599999999999994,156.6,nan
