,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,MF16-,,,,,,,,,,,,,,,,,,,,,
site_name,Merced Formation 16,,,,,,,,,,,,,,,,,,,,,
site_lat,37.68,(ºN),,,,,,,,,,,,,,,,,,,,
site_long,-122.495556,(ºE),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1a,sun compass orientation,0,169,43.0,301.0,67.0,no,138.0,-8.0,2023.0,11.0,8.0,14.0,42.0,1.0,nan,182.0,[13.09021789164045; 61.092525521983134; 47607.06956016623],13.09021789164045,13.0,182.0,nan
2a,sun compass orientation,0.05,162,42.0,301.0,67.0,no,131.0,-8.0,2023.0,11.0,8.0,14.0,43.0,1.0,nan,175.2,[13.090217746684266; 61.09252552237371; 47607.0693828446],13.090217746684266,13.199999999999989,175.2,nan
3a,sun compass orientation,5.5,152,54.0,301.0,67.0,no,120.0,-8.0,2023.0,11.0,8.0,14.0,46.0,1.0,nan,164.9,[13.090217311815772; 61.09252552354556; 47607.0688508798],13.090217311815772,12.900000000000006,164.9,nan
4a,sun compass orientation,9.4,169,28.0,301.0,67.0,no,137.0,-8.0,2023.0,11.0,8.0,14.0,48.0,1.0,nan,182.3,[13.09021702190343; 61.092525524326796; 47607.068496236585],13.09021702190343,13.300000000000011,182.3,nan
5a,sun compass orientation,17.8,146,37.0,301.0,67.0,no,113.0,-8.0,2023.0,11.0,8.0,14.0,50.0,1.0,nan,158.7,[13.09021673199108; 61.09252552510804; 47607.06814159341],13.09021673199108,12.699999999999989,158.7,nan
6a,sun compass orientation,23.3,182,44.0,301.0,67.0,no,148.0,-8.0,2023.0,11.0,8.0,14.0,53.0,1.0,nan,194.3,[13.090216297122554; 61.09252552627989; 47607.06760962861],13.090216297122554,12.300000000000011,194.3,nan
7a,sun compass orientation,36.7,113,35.0,301.0,67.0,no,439.0,-8.0,2023.0,11.0,8.0,14.0,56.0,1.0,nan,125.9,[13.090215862254016; 61.09252552745171; 47607.06707766382],13.090215862254016,12.900000000000006,125.9,nan
8a,sun compass orientation,38,192,35.0,301.0,67.0,no,156.0,-8.0,2023.0,11.0,8.0,14.0,59.0,1.0,nan,203.5,[13.090215427385482; 61.09252552862357; 47607.06654569904],13.090215427385482,11.5,203.5,nan
9a,sun compass orientation,50.1,135,45.0,301.0,67.0,no,101.0,-8.0,2023.0,11.0,8.0,15.0,3.0,1.0,nan,149.3,[13.09021484756073; 61.09252553018604; 47607.06583641265],13.09021484756073,14.300000000000011,149.3,nan
10a,sun compass orientation,60.9,181,42.0,301.0,67.0,no,144.0,-8.0,2023.0,11.0,8.0,15.0,8.0,1.0,nan,193.3,[13.090214122779784; 61.0925255321391; 47607.064949804655],13.090214122779784,12.300000000000011,193.3,nan
11a,sun compass orientation,75.2,151,43.0,301.0,67.0,no,114.0,-8.0,2023.0,11.0,8.0,15.0,10.0,1.0,nan,163.7,[13.090213832867382; 61.09252553292032; 47607.064595161464],13.090213832867382,12.699999999999989,163.7,nan
12a,sun compass orientation,82.7,174,53.0,301.0,67.0,no,135.0,-8.0,2023.0,11.0,8.0,15.0,29.0,1.0,nan,188.3,[13.090211078699486; 61.09252554034195; 47607.06122605115],13.090211078699486,14.300000000000011,188.3,nan
13a,sun compass orientation,98.5,156,43.0,301.0,67.0,no,116.0,-8.0,2023.0,11.0,8.0,15.0,33.0,1.0,nan,170.1,[13.090210498874598; 61.09252554190439; 47607.06051676475],13.090210498874598,14.099999999999994,170.1,nan
14a,sun compass orientation,108.6,180,46.0,301.0,67.0,no,138.0,-8.0,2023.0,11.0,8.0,15.0,37.0,1.0,nan,192.8,[13.090209919049723; 61.09252554346681; 47607.05980747837],13.090209919049723,12.800000000000011,192.8,nan
