,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,MF16-,,,,,,,,,,,,,,,,,,,,,
site_name,Merced Formation 16,,,,,,,,,,,,,,,,,,,,,
site_lat,37.68,(ºN),,,,,,,,,,,,,,,,,,,,
site_long,-122.495556,(ºE),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1a,sun compass orientation,0,169,43,301,67,no,138,-8,2023,11,8,14,42,1,nan,182,[13.09021789164045; 61.092525521983134; 47607.06956016623],13.09021789,13,182,nan
2a,sun compass orientation,0.05,162,42,301,67,no,131,-8,2023,11,8,14,43,1,nan,175.2,[13.090217746684266; 61.09252552237371; 47607.0693828446],13.09021775,13.2,175.2,nan
3a,sun compass orientation,5.5,152,54,301,67,no,120,-8,2023,11,8,14,46,1,nan,164.9,[13.090217311815772; 61.09252552354556; 47607.0688508798],13.09021731,12.9,164.9,nan
4a,sun compass orientation,9.4,169,28,301,67,no,137,-8,2023,11,8,14,48,1,nan,182.3,[13.09021702190343; 61.092525524326796; 47607.068496236585],13.09021702,13.3,182.3,nan
5a,sun compass orientation,17.8,146,37,301,67,no,113,-8,2023,11,8,14,50,1,nan,158.7,[13.09021673199108; 61.09252552510804; 47607.06814159341],13.09021673,12.7,158.7,nan
6a,sun compass orientation,23.3,182,44,301,67,no,148,-8,2023,11,8,14,53,1,nan,194.3,[13.090216297122554; 61.09252552627989; 47607.06760962861],13.0902163,12.3,194.3,nan
7a,sun compass orientation,36.7,113,35,301,67,no,439,-8,2023,11,8,14,56,1,nan,125.9,[13.090215862254016; 61.09252552745171; 47607.06707766382],13.09021586,12.9,125.9,nan
8a,sun compass orientation,38,192,35,301,67,no,156,-8,2023,11,8,14,59,1,nan,203.5,[13.090215427385482; 61.09252552862357; 47607.06654569904],13.09021543,11.5,203.5,nan
9a,sun compass orientation,50.1,135,45,301,67,no,101,-8,2023,11,8,15,3,1,nan,149.3,[13.09021484756073; 61.09252553018604; 47607.06583641265],13.09021485,14.3,149.3,nan
10a,sun compass orientation,60.9,181,42,301,67,no,144,-8,2023,11,8,15,8,1,nan,193.3,[13.090214122779784; 61.0925255321391; 47607.064949804655],13.09021412,12.3,193.3,nan
11a,sun compass orientation,75.2,151,43,301,67,no,114,-8,2023,11,8,15,10,1,nan,163.7,[13.090213832867382; 61.09252553292032; 47607.064595161464],13.09021383,12.7,163.7,nan
12a,sun compass orientation,82.7,174,53,301,67,no,135,-8,2023,11,8,15,29,1,nan,188.3,[13.090211078699486; 61.09252554034195; 47607.06122605115],13.09021108,14.3,188.3,nan
13a,sun compass orientation,98.5,156,43,301,67,no,116,-8,2023,11,8,15,33,1,nan,170.1,[13.090210498874598; 61.09252554190439; 47607.06051676475],13.0902105,14.1,170.1,nan
14a,sun compass orientation,108.6,180,46,301,67,no,138,-8,2023,11,8,15,37,1,nan,192.8,[13.090209919049723; 61.09252554346681; 47607.05980747837],13.09020992,12.8,192.8,nan
15a,sun compass orientation,118.2,222,50,301,67,no,178,-8,2023,11,8,15,40,1,nan,233.4,[13.090209484181017; 61.09252554463864; 47607.05927551359],13.09020948,11.4,233.4,nan
16a,sun compass orientation,129.5,172,28,301,67,no,129,-8,2023,11,8,15,42,1,nan,184.7,[13.090209194268574; 61.092525545419846; 47607.05892087038],13.09020919,12.7,184.7,nan
17a,sun compass orientation,145.2,173,62,301,67,no,130,-8,2023,11,8,15,45,1,nan,186.3,[13.09020875939988; 61.09252554659168; 47607.05838890558],13.09020876,13.3,186.3,nan
18a,sun compass orientation,152.9,157,51,301,67,no,113,-8,2023,11,8,15,48,1,nan,169.8,[13.090208324531181; 61.09252554776352; 47607.057856940824],13.09020832,12.8,169.8,nan
