,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,MF12-,,,,,,,,,,,,,,,,,,,,,
site_name,Merced Formation 12,,,,,,,,,,,,,,,,,,,,,
site_lat,37.677222,(ºN),,,,,,,,,,,,,,,,,,,,
site_long,-122.495278,(ºE),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1a,sun compass orientation,0,181,47.0,300.0,66.0,no,193,-8,2023,11,8,11,58,1.0,nan,194.2,[13.089582657070297; 61.0902774064789; 47605.57114461365],13.089582657070297,13.199999999999989,194.2,nan
2a,sun compass orientation,0.05,176,44.0,300.0,66.0,no,186,-8,2023,11,8,12,0,1.0,nan,187.8,[13.089582367159672; 61.09027740728863; 47605.5707899872],13.089582367159672,11.800000000000011,187.8,nan
3a,sun compass orientation,0.21,177,50.0,300.0,66.0,no,187,-8,2023,11,8,12,3,1.0,nan,189.7,[13.08958193229376; 61.090277408503155; 47605.57025804749],13.08958193229376,12.699999999999989,189.7,nan
4a,sun compass orientation,0.28,171,48.0,300.0,66.0,no,182,-8,2023,11,8,12,4,1.0,nan,185.0,[13.08958178733844; 61.090277408908; 47605.57008073427],13.08958178733844,14.0,185.0,nan
5a,sun compass orientation,0.48,228,35.0,300.0,66.0,no,237,-8,2023,11,8,12,6,1.0,nan,240.6,[13.08958149742782; 61.09027740971771; 47605.56972610782],13.08958149742782,12.599999999999994,240.6,nan
6a,sun compass orientation,0.85,166,43.0,300.0,66.0,no,174,-8,2023,11,8,12,7,1.0,nan,177.9,[13.089581352472507; 61.09027741012255; 47605.56954879458],13.089581352472507,11.900000000000006,177.9,nan
7a,sun compass orientation,1.12,167,31.0,300.0,66.0,no,175,-8,2023,11,8,12,9,1.0,nan,179.5,[13.089581062561873; 61.09027741093227; 47605.56919416812],13.089581062561873,12.5,179.5,nan
8a,sun compass orientation,4.22,72,26.0,300.0,66.0,no,440,-8,2023,11,8,12,12,1.0,nan,85.4,[13.089580627695923; 61.090277412146825; 47605.56866222845],13.089580627695923,13.400000000000006,85.4,nan
9a,sun compass orientation,4.82,141,25.0,300.0,66.0,no,147,-8,2023,11,8,12,16,1.0,nan,153.5,[13.08958004787462; 61.09027741376621; 47605.56795297553],13.08958004787462,12.5,153.5,nan
10a,sun compass orientation,8.52,129,27.0,300.0,66.0,no,132,-8,2023,11,8,12,24,1.0,nan,140.8,[13.089578888231983; 61.09027741700501; 47605.56653446972],13.089578888231983,11.800000000000011,140.8,nan
11a,sun compass orientation,9.92,157,35.0,300.0,66.0,no,160,-8,2023,11,8,12,28,1.0,nan,170.0,[13.089578308410639; 61.090277418624396; 47605.56582521679],13.089578308410639,13.0,170.0,nan
12a,sun compass orientation,11.82,180,39.0,300.0,66.0,no,180,-8,2023,11,8,12,30,1.0,nan,190.6,[13.089578018499953; 61.090277419434116; 47605.56547059035],13.089578018499953,10.599999999999994,190.6,nan
13a,sun compass orientation,15.92,194,32.0,300.0,66.0,no,195,-8,2023,11,8,12,33,1.0,nan,206.4,[13.08957758363393; 61.09027742064864; 47605.56493865068],13.08957758363393,12.400000000000006,206.4,nan
