,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,MF16-,,,,,,,,,,,,,,,,,,,,,
site_name,Merced Formation 16,,,,,,,,,,,,,,,,,,,,,
site_lat,37.68,(ºN),,,,,,,,,,,,,,,,,,,,
site_long,-122.495556,(ºE),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0,(meters),only used if no sun data,,,,[default is yes] (yes or no),all sun compass info is optional,,,,,,,,Optional Field,default core strike,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1a,,0,169,43,301,67,no,138,-8,2023,11,8,14,42,1,,,,,,,
2a,,0.05,162,42,301,67,no,131,-8,2023,11,8,14,43,1,,,,,,,
3a,,5.5,152,54,301,67,no,120,-8,2023,11,8,14,46,1,,,,,,,
4a,,9.4,169,28,301,67,no,137,-8,2023,11,8,14,48,1,,,,,,,
5a,,17.8,146,37,301,67,no,113,-8,2023,11,8,14,50,1,,,,,,,
6a,,23.3,182,44,301,67,no,148,-8,2023,11,8,14,53,1,,,,,,,
7a,,36.7,113,35,301,67,no,439,-8,2023,11,8,14,56,1,,,,,,,
8a,,38,192,35,301,67,no,156,-8,2023,11,8,14,59,1,,,,,,,
9a,,50.1,135,45,301,67,no,101,-8,2023,11,8,15,3,1,,,,,,,
10a,,60.9,181,42,301,67,no,144,-8,2023,11,8,15,8,1,,,,,,,
11a,,75.2,151,43,301,67,no,114,-8,2023,11,8,15,10,1,,,,,,,
12a,,82.7,174,53,301,67,no,135,-8,2023,11,8,15,29,1,,,,,,,
13a,,98.5,156,43,301,67,no,116,-8,2023,11,8,15,33,1,,,,,,,
14a,,108.6,180,46,301,67,no,138,-8,2023,11,8,15,37,1,,,,,,,
15a,,118.2,222,50,301,67,no,178,-8,2023,11,8,15,40,1,,,,,,,
16a,,129.5,172,28,301,67,no,129,-8,2023,11,8,15,42,1,,,,,,,
17a,,145.2,173,62,301,67,no,130,-8,2023,11,8,15,45,1,,,,,,,
18a,,152.9,157,51,301,67,no,113,-8,2023,11,8,15,48,1,,,,,,,
19a,,162,116,33,301,67,no,432,-8,2023,11,8,15,50,1,,,,,,,
20a,,174.2,200,24,301,67,no,154,-8,2023,11,8,15,53,1,,,,,,,
