,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,MF10-,,,,,,,,,,,,,,,,,,,,,
site_name,Merced Formation 10,,,,,,,,,,,,,,,,,,,,,
site_lat,37.674444,(ºN),,,,,,,,,,,,,,,,,,,,
site_long,-122.495278,(ºE),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1a,sun compass orientation,0,172,55,284,35,no,197,-8,2023,11,8,11,13,1,,,,,,,
2a,sun compass orientation,0.3,177,56,284,35,no,200,-8,2023,11,8,11,17,1,,,,,,,
3a,sun compass orientation,0.4,177,40,284,35,no,199,-8,2023,11,8,11,19,1,,,,,,,
4a,mag compass orientation (IGRF corrected),0.9,186,42,284,35,no,,-8,2023,11,8,,,1,,,,,,,
